coefficient_name,share,target,error,error_pct
coef_bike_ASC_bike_atwork,1,0.9404123884811124,0.059587611518887584,0.06336327790739686
coef_bike_ASC_sov_atwork,0,0.05958761151888758,-0.05958761151888758,-1
coef_sov_ASC_sov_atwork,0.946659554607281,0.9946695345154098,-0.04800997990812883,-0.04826726690841966
coef_sov_ASC_walk_atwork,0.05334044539271903,0.0053304654845902,0.04800997990812883,9.006714337973015
coef_sr2_ASC_sov_atwork,0.004147517094496133,0.1263377118846924,-0.12219019479019626,-0.9671711871884973
coef_sr2_ASC_sr2_atwork,0.9853715951126555,0.8721096128726696,0.11326198223998585,0.12987126912511443
coef_sr2_ASC_walk_atwork,0.010480887792848335,0.00155267524263796,0.008928212550210375,5.750212475238251
coef_sr3p_ASC_sov_atwork,0.0019123505976095618,0.0313109815728899,-0.029398630975280334,-0.93892396528171
coef_sr3p_ASC_sr2_atwork,0.040956175298804784,0.06627063355710133,-0.02531445825829655,-0.381986060786406
coef_sr3p_ASC_sr3p_atwork,0.9539442231075698,0.8935801553305723,0.06036406777699743,0.06755305320614048
coef_sr3p_ASC_walk_atwork,0.0031872509960159364,0.00883822953943645,-0.0056509785434205135,-0.63937902022183
coef_walk_ASC_walk_atwork,1,1,0,0
coef_walk_transit_ASC_sov_atwork,0,0.02849266805710207,-0.02849266805710207,-1
coef_walk_transit_ASC_walk_atwork,0.071849234393404,0.16498014064568484,-0.09313090625228083,-0.5644976776464927
coef_walk_transit_ASC_walk_transit_atwork,0.928150765606596,0.8065271912972132,0.12162357430938286,0.1507990996729624
coef_bike_ASC_bike_eatout,1,0.6331180315283896,0.36688196847161036,0.579484314458605
coef_bike_ASC_sov_eatout,0,0.02445461632354843,-0.02445461632354843,-1
coef_bike_ASC_sr2_eatout,0,0.11385192238939428,-0.11385192238939428,-1
coef_bike_ASC_sr3p_eatout,0,0.09473407759822304,-0.09473407759822304,-1
coef_bike_ASC_walk_eatout,0,0.13384135216044457,-0.13384135216044457,-1
coef_drive_transit_ASC_drive_transit_eatout,1,0,1,1
coef_sov_ASC_sov_eatout,0.9691166554281861,0.9883121169018556,-0.019195461473669462,-0.019422469021065
coef_sov_ASC_walk_eatout,0.03088334457181389,0.01168788309814432,0.019195461473669573,1.6423385922397895
coef_sr2_ASC_sov_eatout,0.04649143578814429,0.05919014728549469,-0.012698711497350398,-0.21454096804490266
coef_sr2_ASC_sr2_eatout,0.8822322203804562,0.928550690578424,-0.046318470197967754,-0.04988254348194442
coef_sr2_ASC_sr3p_eatout,0.045702107506511956,0,0.045702107506511956,0.045702107506511956
coef_sr2_ASC_taxi_eatout,0.002604783329386692,0,0.002604783329386692,0.002604783329386692
coef_sr2_ASC_tnc_shared_eatout,0.0049727681742836845,0,0.0049727681742836845,0.0049727681742836845
coef_sr2_ASC_tnc_single_eatout,0.006946088878364512,0,0.006946088878364512,0.006946088878364512
coef_sr2_ASC_walk_eatout,0.011050595942852633,0.0122591621360812,-0.001208566193228568,-0.09858473032765531
coef_sr3p_ASC_sov_eatout,0.01599093427348275,0.01959625669610081,-0.0036053224226180597,-0.18398015899309145
coef_sr3p_ASC_sr2_eatout,0.0313523042054898,0.04502335610454509,-0.013671051899055285,-0.30364355485430367
coef_sr3p_ASC_sr3p_eatout,0.9388693024427096,0.9183918926695396,0.02047740977317003,0.02229702802977412
coef_sr3p_ASC_taxi_eatout,7.554772097708386e-4,0,7.554772097708386e-4,7.554772097708386e-4
coef_sr3p_ASC_tnc_shared_eatout,0.004029211785444472,0,0.004029211785444472,0.004029211785444472
coef_sr3p_ASC_tnc_single_eatout,0.0035885167464114833,0,0.0035885167464114833,0.0035885167464114833
coef_sr3p_ASC_walk_eatout,0.00541425333669101,0.01698849452981452,-0.01157424119312351,-0.6812988150781055
coef_tnc_shared_ASC_tnc_shared_eatout,1,0,1,1
coef_tnc_single_ASC_taxi_eatout,0.5,0,0.5,0.5
coef_tnc_single_ASC_tnc_shared_eatout,0.5,0,0.5,0.5
coef_walk_ASC_taxi_eatout,0.008264462809917356,0,0.008264462809917356,0.008264462809917356
coef_walk_ASC_tnc_shared_eatout,0.007513148009015778,0,0.007513148009015778,0.007513148009015778
coef_walk_ASC_tnc_single_eatout,0.012021036814425245,0,0.012021036814425245,0.012021036814425245
coef_walk_ASC_walk_eatout,0.9722013523666416,1,-0.027798647633358375,-0.027798647633358375
coef_walk_transit_ASC_sov_eatout,0,0.04377523485752827,-0.04377523485752827,-1
coef_walk_transit_ASC_sr2_eatout,0.030222585256279355,0.08274233966649942,-0.05251975441022007,-0.6347385706266676
coef_walk_transit_ASC_sr3p_eatout,0.03573616499897897,0,0.03573616499897897,0.03573616499897897
coef_walk_transit_ASC_walk_eatout,0.06922605676945068,0.27072338811900876,-0.20149733134955808,-0.7442922931393751
coef_walk_transit_ASC_walk_transit_eatout,0.864815192975291,0.6027590373569635,0.2620561556183275,0.43476105603893866
coef_bike_ASC_bike_escort,1,0.8649849587497204,0.13501504125027963,0.15608946708788451
coef_bike_ASC_sov_escort,0,0.02834402607809465,-0.02834402607809465,-1
coef_bike_ASC_sr2_escort,0,0.01076737030519396,-0.01076737030519396,-1
coef_bike_ASC_sr3p_escort,0,0.01757665577290069,-0.01757665577290069,-1
coef_bike_ASC_walk_escort,0,0.0783269890940904,-0.0783269890940904,-1
coef_drive_transit_ASC_drive_transit_escort,1,0.3333333333333333,0.6666666666666667,2.0000000000000004
coef_drive_transit_ASC_sov_escort,0,0.3333333333333333,-0.3333333333333333,-1
coef_drive_transit_ASC_walk_transit_escort,0,0.3333333333333333,-0.3333333333333333,-1
coef_sov_ASC_sov_escort,0,0.989178810853915,-0.989178810853915,-1
coef_sov_ASC_walk_escort,0,0.010821189146084891,-0.010821189146084891,-1
coef_sr2_ASC_sov_escort,0.19564796905222437,0.4463363659175893,-0.2506883968653649,-0.56165801401818
coef_sr2_ASC_sr2_escort,0.8031914893617021,0.5460031689632139,0.25718832039848827,0.4710381459632443
coef_sr2_ASC_walk_escort,0.0011605415860735009,0.00766046511919672,-0.0064999235331232195,-0.8485024645350522
coef_sr3p_ASC_sov_escort,0.03883578195504801,0.15415666079567347,-0.11532087884062546,-0.7480758745382867
coef_sr3p_ASC_sr2_escort,0.06509698252817518,0.21778831053908612,-0.15269132801091095,-0.7010997405368443
coef_sr3p_ASC_sr3p_escort,0.8948055003100874,0.6176963193150461,0.27710918099504134,0.4486171802064863
coef_sr3p_ASC_walk_escort,0.001261735206689335,0.01035870935019434,-0.009096974143505004,-0.8781957129953005
coef_walk_ASC_walk_escort,1,1,0,0
coef_walk_transit_ASC_bike_escort,0,0.02347810368717767,-0.02347810368717767,-1
coef_walk_transit_ASC_sov_escort,0,0.1369271670372402,-0.1369271670372402,-1
coef_walk_transit_ASC_sr2_escort,0.09251101321585903,0.203527182835311,-0.11101616961945196,-0.5454611422066575
coef_walk_transit_ASC_sr3p_escort,0.14096916299559473,0.26623927606200115,-0.12527011306640642,-0.47051702858910205
