ZONE,FID,ContourEle,ElevationR,SHAPE_Leng,SHAPE_Area
713,5011,5400,"5,200 - 5,400",54.63817665,0.426621084
713,4889,5200,"5,000 - 5,200",53.63092272,0.636667438
713,1706,5800,"5,600 - 5,800",3.098917253,0.009079636
714,5011,5400,"5,200 - 5,400",54.63817665,0.426621084
714,4889,5200,"5,000 - 5,200",53.63092272,0.636667438
714,1720,5600,"5,400 - 5,600",3.082774565,0.012127243
714,1706,5800,"5,600 - 5,800",3.098917253,0.009079636
715,4889,5200,"5,000 - 5,200",53.63092272,0.636667438
715,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
715,4081,5000,"4,800 - 5,000",47.34030134,0.49242991
715,3774,4800,"4,600 - 4,800",40.11612286,0.589167666
716,4889,5200,"5,000 - 5,200",53.63092272,0.636667438
716,4081,5000,"4,800 - 5,000",47.34030134,0.49242991
716,3774,4800,"4,600 - 4,800",40.11612286,0.589167666
717,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
717,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
718,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
718,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
719,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
719,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
720,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
721,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
722,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
722,3774,4800,"4,600 - 4,800",40.11612286,0.589167666
723,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
723,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
724,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
724,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
725,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
726,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
726,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
727,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
728,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
728,4081,5000,"4,800 - 5,000",47.34030134,0.49242991
728,3774,4800,"4,600 - 4,800",40.11612286,0.589167666
729,4081,5000,"4,800 - 5,000",47.34030134,0.49242991
729,3774,4800,"4,600 - 4,800",40.11612286,0.589167666
730,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
731,3774,4800,"4,600 - 4,800",40.11612286,0.589167666
731,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
731,4081,5000,"4,800 - 5,000",47.34030134,0.49242991
732,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
732,3774,4800,"4,600 - 4,800",40.11612286,0.589167666
733,4889,5200,"5,000 - 5,200",53.63092272,0.636667438
733,4081,5000,"4,800 - 5,000",47.34030134,0.49242991
734,4081,5000,"4,800 - 5,000",47.34030134,0.49242991
734,3774,4800,"4,600 - 4,800",40.11612286,0.589167666
734,4889,5200,"5,000 - 5,200",53.63092272,0.636667438
735,4081,5000,"4,800 - 5,000",47.34030134,0.49242991
735,3774,4800,"4,600 - 4,800",40.11612286,0.589167666
736,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
737,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
738,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
739,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
740,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
740,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
741,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
742,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
743,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
744,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
745,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
746,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
747,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
748,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
749,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
750,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
751,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
752,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
753,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
754,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
755,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
756,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
757,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
758,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
759,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
760,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
761,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
762,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
763,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
764,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
765,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
766,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
767,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
768,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
769,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
770,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
771,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
772,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
773,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
774,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
775,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
776,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
777,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
778,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
779,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
780,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
781,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
782,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
783,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
784,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
785,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
786,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
787,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
788,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
789,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
790,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
791,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
792,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
793,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
794,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
795,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
796,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
797,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
798,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
799,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
800,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
801,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
802,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
803,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
