ZONE,FID,ContourEle,ElevationR,SHAPE_Leng,SHAPE_Area
1001,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
1002,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
1003,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
1004,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
1005,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
1006,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
1007,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
1008,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
1009,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
1010,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
1011,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
1012,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
1013,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
1014,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
1015,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
1016,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
1017,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
1018,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
1019,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
1020,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
1021,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
1022,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
1023,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
1024,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
1025,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
1026,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
1027,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
1027,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
1028,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
1029,4889,5200,"5,000 - 5,200",53.63092272,0.636667438
1029,4081,5000,"4,800 - 5,000",47.34030134,0.49242991
1029,5848,5600,"5,400 - 5,600",57.00008693,0.331591946
1029,5011,5400,"5,200 - 5,400",54.63817665,0.426621084
1029,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
1029,3774,4800,"4,600 - 4,800",40.11612286,0.589167666
1029,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
1030,3774,4800,"4,600 - 4,800",40.11612286,0.589167666
1030,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
1030,5861,5800,"5,600 - 5,800",105.5489338,0.552891925
1030,5810,6200,"6,000 - 6,200",102.0527434,0.414236485
1030,5651,6400,"6,200 - 6,400",103.7764901,0.37482733
1030,5848,5600,"5,400 - 5,600",57.00008693,0.331591946
1030,5821,6000,"5,800 - 6,000",100.2620937,0.465002796
1030,4889,5200,"5,000 - 5,200",53.63092272,0.636667438
1030,4081,5000,"4,800 - 5,000",47.34030134,0.49242991
1030,5570,6600,"6,400 - 6,600",101.8441679,0.361634085
1030,5011,5400,"5,200 - 5,400",54.63817665,0.426621084
1031,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
1031,3774,4800,"4,600 - 4,800",40.11612286,0.589167666
1032,5011,5400,"5,200 - 5,400",54.63817665,0.426621084
1032,4889,5200,"5,000 - 5,200",53.63092272,0.636667438
1032,5861,5800,"5,600 - 5,800",105.5489338,0.552891925
1032,5848,5600,"5,400 - 5,600",57.00008693,0.331591946
1032,4081,5000,"4,800 - 5,000",47.34030134,0.49242991
1032,3774,4800,"4,600 - 4,800",40.11612286,0.589167666
1033,5821,6000,"5,800 - 6,000",100.2620937,0.465002796
1033,5810,6200,"6,000 - 6,200",102.0527434,0.414236485
1033,5861,5800,"5,600 - 5,800",105.5489338,0.552891925
1033,5848,5600,"5,400 - 5,600",57.00008693,0.331591946
1033,4889,5200,"5,000 - 5,200",53.63092272,0.636667438
1033,4081,5000,"4,800 - 5,000",47.34030134,0.49242991
1033,5651,6400,"6,200 - 6,400",103.7764901,0.37482733
1033,5011,5400,"5,200 - 5,400",54.63817665,0.426621084
1034,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
1035,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
1036,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
1037,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
1038,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
1039,2458,4600,"4,400 - 4,600",35.25413498,0.353741924
1039,2365,4400,"4,200 - 4,400",25.73153981,1.861984665
