Index,CO_TAZID,TOTHH,TOTPOP,HHSIZE,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ,AVGINCOME,Enrol_Elem,Enrol_Midl,Enrol_High,CO_FIPS,CO_NAME
297,3419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54181,0,0,0,3,BOX ELDER
298,3420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58870,0,0,0,3,BOX ELDER
299,3422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53211,0,0,0,3,BOX ELDER
300,3423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42202,0,0,0,3,BOX ELDER
301,3424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42202,0,0,0,3,BOX ELDER
302,3437,0,0,0,8.6,0,0,0,0,0,0,0,8.6,0,0,0,0,42202,0,0,0,3,BOX ELDER
1,30001,1.1,2.1,1.88,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,46112,0,0,0,3,BOX ELDER
2,30002,15.2,46.1,3.04,4.5,0.9,0,0,2.6,0,0,0,0,0,0,0,0.9,46112,0,0,0,3,BOX ELDER
3,30003,5.1,12.6,2.46,2.9,0,0,0,2.6,0,0,0,0,0,0,0,0.3,46112,0,0,0,3,BOX ELDER
4,30004,21,39.6,1.88,87.2,1.4,0.2,1.2,16.4,0.2,0.6,0.3,2.8,62.4,0,0.5,1.2,46112,0,0,0,3,BOX ELDER
5,30005,30.5,78.8,2.59,71.3,0.2,0.1,0.5,67.5,0.1,0.2,0.1,0.3,0,0,0.5,1.8,46112,0,0,0,3,BOX ELDER
6,30006,15.1,42.9,2.85,44.8,0.9,0,0.1,42.8,0,0,0,0,0,0,0,0.9,46112,0,0,0,3,BOX ELDER
7,30007,0,0,0,180.5,5,2.7,71.1,58.4,2.1,6.3,3.4,10.8,14.2,0,6.6,0,55022,0,0,0,3,BOX ELDER
