;TAZID,CO_TAZID,TOTHH,TOTPOP,HHSIZE,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ,AVGINCOME,Enrol_Elem,Enrol_Midl,Enrol_High,CO_FIPS,CO_NAME
2584,492584,456.0,1745.94672705,3.82883054178,188.695864383,0.0,0.0,0.333333333333,0.0,37.6666666667,32.6666666667,21.3333333333,49.0,0.0,0.0,5.66419017529,42.0316742081,91388,585.0,0.0,0.0,49,UTAH
2585,492585,407.333333333,1715.88830441,4.2124917457,50.7014387159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.67646925241,0.0,10.664109735,37.3608597285,89030,0.0,0.0,0.0,49,UTAH
2586,492586,4.33333333333,17.3528159337,4.0044959847,19.4051484489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0718151155,0.0,0.0,0.333333333333,94354,0.0,0.0,0.0,49,UTAH
2587,492587,119.333333333,378.609247067,3.17270318771,168.344827182,6.66666666667,0.666666666667,2.0,5.0,15.3333333333,40.3333333333,1.33333333333,67.6666666667,1.00377974292,0.0,17.3323747394,11.0086726999,44331,0.0,0.0,0.0,49,UTAH
2588,492588,45.6666666667,156.172839711,3.41984320536,114.682073945,31.6666666667,11.0,0.0,0.0,0.666666666667,9.0,0.666666666667,49.0,3.01133922877,0.0,5.33325356969,4.33748114631,52738,0.0,0.0,0.0,49,UTAH
2589,492589,20.0,81.1790203439,4.05895101719,47.0470340717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.3912102542,0.0,29.653938448,2.00188536953,73210,0.0,0.0,0.0,49,UTAH
2590,492590,42.0,134.158944057,3.19426057279,175.692416042,12.0,6.0,0.333333333333,0.333333333333,17.3333333333,15.6666666667,1.66666666667,61.6666666667,10.0377974292,0.0,46.6508478732,4.00377073907,67950,0.0,0.0,0.0,49,UTAH
2591,492591,27.3333333333,76.5298570395,2.79987281852,15.6814336927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.01511897169,0.0,9.3310960181,2.33521870287,67950,0.0,0.0,0.0,49,UTAH
2592,492592,0.0,0.0,0.0,2465.99976029,597.0,219.0,1.66666666667,0.0,196.0,52.0,6.33333333333,1393.0,0.0,0.0,0.999760287653,0.0,45328,0.0,0.0,0.0,49,UTAH
2593,492593,76.6666666667,223.393953001,2.91383416958,489.336694976,77.6666666667,37.0,0.0,1.0,31.3333333333,12.6666666667,56.6666666667,260.666666667,0.0,0.0,5.33141594096,7.00527903469,45328,0.0,0.0,0.0,49,UTAH
2594,492594,50.6666666667,147.172253894,2.90471553738,263.003393665,49.0,66.6666666667,0.0,0.0,2.33333333333,6.33333333333,0.0,134.0,0.0,0.0,0.0,4.67006033183,45328,0.0,0.0,0.0,49,UTAH
2595,492595,282.333333333,832.845650751,2.94986653158,382.018808993,65.0,35.0,1.0,0.333333333333,11.6666666667,36.6666666667,53.6666666667,151.0,0.0,0.0,1.66586781701,26.0196078431,45328,0.0,0.0,0.0,49,UTAH
2596,492596,326.0,949.656196579,2.91305581773,102.022890867,9.33333333333,2.66666666667,0.0,0.0,3.0,0.666666666667,0.0,53.0,0.0,0.0,3.33359976553,30.0226244344,36823,0.0,0.0,0.0,49,UTAH
2597,492597,178.0,528.283541446,2.9678850643,294.344045716,90.6666666667,108.333333333,0.333333333333,0.333333333333,2.0,8.0,0.333333333333,62.0,0.0,0.0,5.9982689442,16.3457767722,36823,0.0,0.0,0.0,49,UTAH
2598,492598,289.666666667,804.967261873,2.77894336665,658.686491775,39.0,71.0,7.0,3.0,54.0,15.0,53.6666666667,389.0,0.0,0.0,0.666506858437,26.3533182504,45459,0.0,0.0,0.0,49,UTAH
2599,492599,278.333333333,845.552229708,3.03791220254,63.6844594938,0.0,0.0,0.0,1.33333333333,0.0,20.0,0.0,12.3333333333,0.0,0.0,4.66522872453,25.3525641026,45459,410.0,0.0,0.0,49,UTAH
2600,492600,267.0,827.578665407,3.09954556332,121.682107238,11.6666666667,0.0,0.0,0.333333333333,1.0,34.0,1.33333333333,38.6666666667,0.0,0.0,9.99696395002,24.6851432881,42880,0.0,1116.0,0.0,49,UTAH
2601,492601,191.0,548.726222161,2.87291215791,146.346024878,14.3333333333,18.6666666667,0.0,0.333333333333,1.33333333333,28.3333333333,0.333333333333,62.3333333333,0.0,0.0,2.99949395763,17.6798642534,37254,0.0,0.0,0.0,49,UTAH
2602,492602,230.666666667,688.463754278,2.98466945496,75.0155174876,0.333333333333,0.0,0.0,0.333333333333,0.333333333333,10.3333333333,11.3333333333,30.0,0.0,0.0,1.33301371687,21.0158371041,37254,0.0,0.0,0.0,49,UTAH
2603,492603,292.666666667,975.375866373,3.33271936118,46.3533491667,0.0,0.0,0.0,0.0,0.0,1.33333333333,12.3333333333,4.0,0.0,0.0,1.66632050913,27.0203619909,51906,0.0,0.0,0.0,49,UTAH
