mode,n,share
bike,11526,0.03772263423510699
drive_transit,897,0.002935728171862829
sr2,87198,0.28538419746944815
sr3p,110800,0.36262952223233164
taxi,977,0.0031975545417056678
tnc_shared,1772,0.005799454092018878
tnc_single,11177,0.0365804166966676
walk,47505,0.15547577124230066
walk_transit,33694,0.1102747213185576
