mode,auto_own,purpose,share
walk_transit,no_auto,othmaint,0.2848530519969857
bike,auto_deficient,school,0.027491408934707903
drive_transit,auto_deficient,school,0.007118311242022582
sr2,auto_deficient,school,0.13647520864015708
sr3p,auto_deficient,school,0.600392734413353
taxi,auto_deficient,school,0.003436426116838488
tnc_shared,auto_deficient,school,0.0012272950417280314
tnc_single,auto_deficient,school,0.006381934216985763
walk,auto_deficient,school,0.13770250368188514
walk_transit,auto_deficient,school,0.0743740795287187
bike,auto_sufficient,school,0.024630432366344338
drive_transit,auto_sufficient,school,0.0017339113037679226
sr2,auto_sufficient,school,0.15045015005001666
sr3p,auto_sufficient,school,0.6736023118817384
taxi,auto_sufficient,school,0.0034233633433366677
tnc_shared,auto_sufficient,school,0.0014226964543736802
tnc_single,auto_sufficient,school,0.003934644881627209
walk,auto_sufficient,school,0.08549516505501834
walk_transit,auto_sufficient,school,0.01745026119817717
bike,no_auto,school,0.0011237849075686913
sr2,no_auto,school,0.050233185368320506
sr3p,no_auto,school,0.00899027926054953
taxi,no_auto,school,0
tnc_shared,no_auto,school,5.6189245378434565e-5
tnc_single,no_auto,school,5.6189245378434565e-5
walk,no_auto,school,0.6226330280384335
walk_transit,no_auto,school,0.3166263977074788
bike,auto_deficient,shopping,0.02548076923076923
drive_transit,auto_deficient,shopping,0
sr2,auto_deficient,shopping,0.28846153846153844
sr3p,auto_deficient,shopping,0.23173076923076924
taxi,auto_deficient,shopping,0.004807692307692308
tnc_shared,auto_deficient,shopping,0.019230769230769232
tnc_single,auto_deficient,shopping,0.06923076923076923
walk,auto_deficient,shopping,0.05576923076923077
walk_transit,auto_deficient,shopping,0.010576923076923078
bike,auto_sufficient,shopping,0.007285824260420104
drive_transit,auto_sufficient,shopping,7.148355878148026e-4
sr2,auto_sufficient,shopping,0.243978884856483
sr3p,auto_sufficient,shopping,0.3862036731551743
taxi,auto_sufficient,shopping,9.07291322995711e-4
tnc_shared,auto_sufficient,shopping,0.002941823380622457
tnc_single,auto_sufficient,shopping,0.009567799406136588
walk,auto_sufficient,shopping,0.015313977785109425
walk_transit,auto_sufficient,shopping,0.008660508083140877
bike,no_auto,shopping,0.06260912945871788
sr2,no_auto,shopping,0.2619107009229234
sr3p,no_auto,shopping,0.04664504864055874
taxi,no_auto,shopping,0.008730356697430781
tnc_shared,no_auto,shopping,0.011640475596574374
tnc_single,no_auto,shopping,0.03309220919597572
walk,no_auto,shopping,0.33965244865718797
walk_transit,no_auto,shopping,0.2328095119314875
bike,auto_deficient,social,0.05776173285198556
drive_transit,auto_deficient,social,0
sr2,auto_deficient,social,0.22021660649819494
sr3p,auto_deficient,social,0.388086642599278
taxi,auto_deficient,social,0
tnc_shared,auto_deficient,social,0
tnc_single,auto_deficient,social,0.0018050541516245488
walk,auto_deficient,social,0.20397111913357402
walk_transit,auto_deficient,social,0.005415162454873646
bike,auto_sufficient,social,0.04358629257687131
drive_transit,auto_sufficient,social,0
sr2,auto_sufficient,social,0.14949787762708355
sr3p,auto_sufficient,social,0.404803809918211
taxi,auto_sufficient,social,1.0353038616834041e-4
tnc_shared,auto_sufficient,social,1.0353038616834041e-4
tnc_single,auto_sufficient,social,0.0018635469510301273
walk,auto_sufficient,social,0.1850088000828243
walk_transit,auto_sufficient,social,0.0028988508127135316
bike,no_auto,social,0.07960199004975124
sr2,no_auto,social,0.32369402985074625
sr3p,no_auto,social,0.012437810945273632
taxi,no_auto,social,6.218905472636816e-4
tnc_shared,no_auto,social,0.00808457711442786
tnc_single,no_auto,social,0.021766169154228857
walk,no_auto,social,0.45677860696517414
walk_transit,no_auto,social,0.09483830845771145
bike,auto_deficient,univ,0.001440922190201729
drive_transit,auto_deficient,univ,0
sr2,auto_deficient,univ,0.276657060518732
sr3p,auto_deficient,univ,0.09798270893371758
taxi,auto_deficient,univ,0.1138328530259366
tnc_shared,auto_deficient,univ,0.15561959654178675
tnc_single,auto_deficient,univ,0.002881844380403458
walk,auto_deficient,univ,0.09654178674351585
walk_transit,auto_deficient,univ,0.2219020172910663
bike,auto_sufficient,univ,0.04511412268188302
drive_transit,auto_sufficient,univ,0.025320970042796005
sr2,auto_sufficient,univ,0.16208987161198288
sr3p,auto_sufficient,univ,0.13712553495007132
taxi,auto_sufficient,univ,0.0019614835948644793
tnc_shared,auto_sufficient,univ,0.009985734664764621
tnc_single,auto_sufficient,univ,0.031205420827389443
walk,auto_sufficient,univ,0.12143366619115549
walk_transit,auto_sufficient,univ,0.11554921540656206
bike,no_auto,univ,0.13878743608473337
sr2,no_auto,univ,0.05076698319941563
sr3p,no_auto,univ,0.002191380569758948
taxi,no_auto,univ,0
tnc_shared,no_auto,univ,3.652300949598247e-4
tnc_single,no_auto,univ,0
walk,no_auto,univ,0.15887509130752375
walk_transit,no_auto,univ,0.6468224981738495
bike,auto_deficient,work,0.031758105923742515
drive_transit,auto_deficient,work,0.0053247123704478466
sr2,auto_deficient,work,0.24702862032899114
sr3p,auto_deficient,work,0.15860036131976799
taxi,auto_deficient,work,0.0018065988399733764
tnc_shared,auto_deficient,work,0.003423029381002187
tnc_single,auto_deficient,work,0.020918512883902254
walk,auto_deficient,work,0.042407530664638204
walk_transit,auto_deficient,work,0.10069411429114766
bike,auto_sufficient,work,0.014741538163126757
drive_transit,auto_sufficient,work,0.0059766269033071475
sr2,auto_sufficient,work,0.14863980215304043
sr3p,auto_sufficient,work,0.12904907380467462
taxi,auto_sufficient,work,7.273785277858598e-5
tnc_shared,auto_sufficient,work,2.0609058287266027e-4
tnc_single,auto_sufficient,work,0.0018305692949277471
walk,auto_sufficient,work,0.014717292212200563
walk_transit,auto_sufficient,work,0.03086509552904665
bike,no_auto,work,0.08796582707320666
sr2,no_auto,work,0.12664604507291205
sr3p,no_auto,work,0.06380910296067167
taxi,no_auto,work,0.0023272941523051994
tnc_shared,no_auto,work,0.006157018706731477
tnc_single,no_auto,work,0.15999410811607012
walk,no_auto,work,0.18123434968331123
walk_transit,no_auto,work,0.36385329209014583
drive_transit,no_auto,all,0
sr2,no_auto,all,0
