mode,cube_trips
DRIVEALONEFREE,3732863.0827924795
sr2,1816201.1913064655
sr3p,2437242.7964987606
bike,130929.67269984786
walk,624347.9619000227
walk_transit,92067.32189963094
drive_transit,27489.453699770333
other_transit,857.8387999952201
local_bus,50418.89959984608
express_bus,809.4306999999378
commuter_rail,20108.357800148577
walk_light_rail,37714.229499917135
drive_light_rail,9747.752300016076
