coefficient_name,target
bike_ASC_auto_deficient_atwork,0
drive_transit_ASC_auto_deficient_atwork,0
sr2_ASC_auto_deficient_atwork,0.25063993058397355
sr3p_ASC_auto_deficient_atwork,0.14072692238956658
walk_ASC_auto_deficient_atwork,0.16107476582401023
walk_transit_ASC_auto_deficient_atwork,0.052323193599330735
bike_ASC_auto_sufficient_atwork,0.010845826230582176
drive_transit_ASC_auto_sufficient_atwork,0
sr2_ASC_auto_sufficient_atwork,0.18330738243078826
sr3p_ASC_auto_sufficient_atwork,0.11432124726207521
walk_ASC_auto_sufficient_atwork,0.10363154060760683
walk_transit_ASC_auto_sufficient_atwork,0.00873905622193526
bike_ASC_no_auto_atwork,0
sr2_ASC_no_auto_atwork,0.6204196836347944
sr3p_ASC_no_auto_atwork,0
walk_ASC_no_auto_atwork,0.37958031636520556
walk_transit_ASC_no_auto_atwork,0
bike_ASC_auto_deficient_eatout,0
drive_transit_ASC_auto_deficient_eatout,0
sr2_ASC_auto_deficient_eatout,0.32740967680533556
sr3p_ASC_auto_deficient_eatout,0.38628457805165256
walk_ASC_auto_deficient_eatout,0.058428699441769365
walk_transit_ASC_auto_deficient_eatout,0
bike_ASC_auto_sufficient_eatout,0.009809585770425974
drive_transit_ASC_auto_sufficient_eatout,0
sr2_ASC_auto_sufficient_eatout,0.24046739199782202
sr3p_ASC_auto_sufficient_eatout,0.4914600838467923
walk_ASC_auto_sufficient_eatout,0.013290606928762617
walk_transit_ASC_auto_sufficient_eatout,0.008097926764533993
bike_ASC_no_auto_eatout,0
sr2_ASC_no_auto_eatout,0.35302801588850735
sr3p_ASC_no_auto_eatout,0.05092701109428304
walk_ASC_no_auto_eatout,0.08547594845889664
walk_transit_ASC_no_auto_eatout,0.42468713750073034
bike_ASC_auto_deficient_escort,0.001976724205634767
drive_transit_ASC_auto_deficient_escort,0
sr2_ASC_auto_deficient_escort,0.3440787528495172
sr3p_ASC_auto_deficient_escort,0.4943214619809316
walk_ASC_auto_deficient_escort,0.018059411997200906
walk_transit_ASC_auto_deficient_escort,0.027294285509659677
bike_ASC_auto_sufficient_escort,0.006293989233416095
drive_transit_ASC_auto_sufficient_escort,5.666817668281422e-4
sr2_ASC_auto_sufficient_escort,0.3676973774071134
sr3p_ASC_auto_sufficient_escort,0.5576046311161179
walk_ASC_auto_sufficient_escort,0.027072490289181114
walk_transit_ASC_auto_sufficient_escort,0.0029595505665592475
bike_ASC_no_auto_escort,0.07090393626153982
sr2_ASC_no_auto_escort,0.3472171839221415
sr3p_ASC_no_auto_escort,0.3257438837694234
walk_ASC_no_auto_escort,0.20634147230314745
walk_transit_ASC_no_auto_escort,0.04979352374374787
bike_ASC_auto_deficient_othdiscr,0.07176819524942175
drive_transit_ASC_auto_deficient_othdiscr,0
sr2_ASC_auto_deficient_othdiscr,0.12034384679420414
sr3p_ASC_auto_deficient_othdiscr,0
walk_ASC_auto_deficient_othdiscr,0.44946325495133127
walk_transit_ASC_auto_deficient_othdiscr,0
bike_ASC_auto_sufficient_othdiscr,0.022941901510427958
drive_transit_ASC_auto_sufficient_othdiscr,6.220780656134357e-4
sr2_ASC_auto_sufficient_othdiscr,0.24383596201093774
sr3p_ASC_auto_sufficient_othdiscr,0.23367364279613773
walk_ASC_auto_sufficient_othdiscr,0.11826777433589382
walk_transit_ASC_auto_sufficient_othdiscr,0.0037748442081136616
bike_ASC_no_auto_othdiscr,0
sr2_ASC_no_auto_othdiscr,0.7349408063772378
sr3p_ASC_no_auto_othdiscr,0.14519747195509994
walk_ASC_no_auto_othdiscr,0.11986172166766224
walk_transit_ASC_no_auto_othdiscr,0
bike_ASC_auto_deficient_othmaint,0.019596528966644884
drive_transit_ASC_auto_deficient_othmaint,0
sr2_ASC_auto_deficient_othmaint,0.21733938215083556
sr3p_ASC_auto_deficient_othmaint,0.363813896642562
walk_ASC_auto_deficient_othmaint,0.16518466104464477
walk_transit_ASC_auto_deficient_othmaint,0
bike_ASC_auto_sufficient_othmaint,0.01684303878613434
drive_transit_ASC_auto_sufficient_othmaint,0.0012762097873527793
sr2_ASC_auto_sufficient_othmaint,0.23432356108338662
sr3p_ASC_auto_sufficient_othmaint,0.322915647046959
walk_ASC_auto_sufficient_othmaint,0.047724854415717576
walk_transit_ASC_auto_sufficient_othmaint,0.012427795237534019
bike_ASC_no_auto_othmaint,0.26002662564623524
sr2_ASC_no_auto_othmaint,0.05919584665481462
sr3p_ASC_no_auto_othmaint,0.04109055399875487
walk_ASC_no_auto_othmaint,0.3203191442416915
walk_transit_ASC_no_auto_othmaint,0.31936782945850384
bike_ASC_auto_deficient_school,0.02862147488969377
drive_transit_ASC_auto_deficient_school,0.006656221080698895
sr2_ASC_auto_deficient_school,0.13106069540198037
sr3p_ASC_auto_deficient_school,0.5751805469002137
walk_ASC_auto_deficient_school,0.1201192830214574
walk_transit_ASC_auto_deficient_school,0.06503788150327447
bike_ASC_auto_sufficient_school,0.02349612145265366
drive_transit_ASC_auto_sufficient_school,0.0016782651692500278
sr2_ASC_auto_sufficient_school,0.14360462346590475
sr3p_ASC_auto_sufficient_school,0.64540952841543
walk_ASC_auto_sufficient_school,0.07978168016174036
walk_transit_ASC_auto_sufficient_school,0.015438993793438802
bike_ASC_no_auto_school,0
sr2_ASC_no_auto_school,0.11805146237474086
sr3p_ASC_no_auto_school,0
walk_ASC_no_auto_school,0.6293056035970226
walk_transit_ASC_no_auto_school,0.2526429340282365
bike_ASC_auto_deficient_shopping,0.02635960265112333
drive_transit_ASC_auto_deficient_shopping,0
sr2_ASC_auto_deficient_shopping,0.29028546640642683
sr3p_ASC_auto_deficient_shopping,0.22755014981704433
walk_ASC_auto_deficient_shopping,0.05147558229051736
walk_transit_ASC_auto_deficient_shopping,0.007547390335286601
bike_ASC_auto_sufficient_shopping,0.0073024549981641025
drive_transit_ASC_auto_sufficient_shopping,7.074352762259308e-4
sr2_ASC_auto_sufficient_shopping,0.24431920877345825
sr3p_ASC_auto_sufficient_shopping,0.3876466780399174
walk_ASC_auto_sufficient_shopping,0.014716516016192095
walk_transit_ASC_auto_sufficient_shopping,0.008117016367662705
bike_ASC_no_auto_shopping,0.06489381174415061
sr2_ASC_no_auto_shopping,0.2589484745743623
sr3p_ASC_no_auto_shopping,0.04555965901728482
walk_ASC_no_auto_shopping,0.3668372152148597
walk_transit_ASC_no_auto_shopping,0.24764815468384968
bike_ASC_auto_deficient_social,0.05233983418087525
drive_transit_ASC_auto_deficient_social,0
sr2_ASC_auto_deficient_social,0.200454977963169
sr3p_ASC_auto_deficient_social,0.3873054689932141
walk_ASC_auto_deficient_social,0.20678531067463848
walk_transit_ASC_auto_deficient_social,0
bike_ASC_auto_sufficient_social,0.043814566896975445
drive_transit_ASC_auto_sufficient_social,0
sr2_ASC_auto_sufficient_social,0.15109595631217876
sr3p_ASC_auto_sufficient_social,0.4088255163479805
walk_ASC_auto_sufficient_social,0.18415530535471294
walk_transit_ASC_auto_sufficient_social,0.0029107621054693237
bike_ASC_no_auto_social,0.08669681970724818
sr2_ASC_no_auto_social,0.2974345069458945
sr3p_ASC_no_auto_social,0
walk_ASC_no_auto_social,0.488195057768067
