tazid,tothh,resacre,ciacre,totemp,cbd
262,0,0,113,76,0
263,0,0,283,176,0
264,0,0,64,304,0
265,188,29,25,364,0
266,34,22,25,84,0
267,11,1,23,384,0
268,178,5,22,1167,0
269,44,24,2,8,0
270,95,20,6,74,0
271,0,0,26,435,0
272,1,0,27,779,0
273,70,2,24,1110,0
274,39,5,21,477,0
275,169,8,28,921,0
276,1,0,26,866,0
277,0,0,27,2349,0
278,297,7,20,1466,0
279,101,19,14,209,0
280,28,2,24,626,0
281,64,4,22,860,0
282,131,10,17,543,0
283,292,86,41,301,0
284,287,73,6,66,0
285,668,70,9,223,0
286,380,53,26,425,0
287,159,61,59,413,0
288,535,93,12,209,0
289,753,102,4,73,0
290,452,90,16,215,0
291,3,2,123,267,0
292,551,158,70,554,0
293,287,94,3,26,0
294,417,95,10,115,0
295,173,89,5,26,0
296,19,3,78,1145,0
297,333,62,17,304,0
298,71,8,31,741,0
299,135,22,18,296,0
300,573,64,16,377,0
301,592,99,7,113,0
302,412,77,2,47,0
303,442,97,8,116,0
304,362,58,21,376,0
305,426,88,18,225,0
306,217,92,15,93,0
307,610,158,28,286,0
308,246,116,6,36,0
309,56,42,128,428,0
310,14,1,318,5171,0
311,167,28,33,510,0
312,217,42,21,328,0
313,0,0,71,287,0
314,146,29,41,652,0
315,178,33,37,593,0
316,422,92,2,32,0
317,494,145,6,69,0
318,256,50,8,130,0
319,841,130,35,591,0
320,544,86,6,85,0
321,136,214,8,13,0
322,432,141,49,394,0
323,240,37,94,1822,0
324,236,60,9,104,0
325,152,32,26,340,0
326,442,88,3,55,0
327,204,43,13,160,0
328,603,30,127,6425,0
329,315,71,238,2849,0
330,190,63,49,368,0
331,303,223,8,29,0
332,1113,300,15,167,0
333,638,181,23,217,0
334,333,66,121,1563,0
335,194,39,59,682,0
336,182,42,7,93,0
337,1,0,84,190,0
338,450,96,7,99,0
339,608,135,11,140,0
340,606,189,43,357,0
341,462,159,42,329,0
342,582,147,13,138,0
343,279,45,71,957,0
344,195,42,31,371,0
345,1,205,0,0,0
346,3,0,161,2410,0
347,709,460,228,881,0
348,0,0,0,0,0
349,308,67,182,1826,0
350,223,195,102,317,0
351,811,138,15,247,0
352,435,142,5,45,0
353,439,114,18,174,0
354,245,45,61,657,0
355,359,348,49,143,0
356,14,1,78,2074,0
357,388,64,83,1164,0
358,1023,463,172,910,0
359,962,141,150,2416,0
360,398,527,198,435,0
361,924,291,103,886,0
362,185,26,103,1831,0
363,1586,749,185,1101,0
364,1194,231,65,817,0
365,405,292,38,164,0
366,275,329,69,168,0
367,340,201,4,26,0
