tazid,tothh,resacre,ciacre,totemp,cbd
146,70,105.063477802,13.345171934,48,0
147,122,108.043716045,14.610423052,153,0
148,252,254.066195718,3.395303308,218,0
149,332,275.446618262,17.724268329,90,0
150,532,311.61755202,120.973866726,446,0
151,240,391.857078731,23.426216533,165,0
152,492,575.5404979344,28.68443656,137,0
153,13,71.34059379,26.475329057,20,0
154,39,64.148525733,11.74459563,61,0
155,117,295.217880726,68.507975922,56,0
156,105,153.894001451,38.272467677,46,0
157,44,99.116176829,5.556779777,36,0
158,224,133.698268956,118.219000783,103,0
159,510,455.440188258,41.9132116361,316,0
160,79,67.209716161,6.252635229,80,0
161,235,142.153804895,25.869998045,24,0
162,634,200.455100728,76.746334161,1012,0
163,5,12.341632902,54.765018704,42,0
164,29,41.568350414,7.192406694,24,0
165,27,66.839084921,4.501883144,136,0
166,91,180.424682952,27.972738669,39,0
167,22,71.978797379,14.724351545,21,0
168,98,203.908111005,46.90624492,53,0
169,165,340.544244804,30.172010603,100,0
170,7,39.404619446,14.839085793999999,5,0
171,46,110.426526833,0.507107907,52,0
172,75,235.830500615,0,16,0
173,208,298.542177954,76.714778024,695,0
174,8,31.78105148,0,24,0
175,7,65.939225492,0,120,0
176,428,286.783391586,30.568978415,104,0
177,256,42.61730659,104.329811384,1104,0
178,566,735.039379874,83.617073506,824,0
179,262,186.508431988,73.178763924,68,0
180,17,72.232306278,0,8,0
181,95,113.245871479,14.900688154,23,0
182,27,18.281682454,40.490985554,62,0
183,847,411.091856494,10.818160256,396,0
184,852,280.567140975,19.591786676999998,113,0
185,400,276.65548564200003,6.962530389,99,0
186,155,240.03663118900002,50.325094313,674,0
187,574,195.076309891,2.189465359,180,0
188,171,52.824963421,7.219460786,14,0
189,340,114.133357679,8.467477032,114,0
190,341,114.345597169,9.222484007,41,0
191,491,174.716786772,8.409960776,175,0
192,447,300.49316107199996,5.557836486999999,99,0
193,150,139.652283592,150.90363557,2057,0
194,126,58.121799361,216.50319525,2104,0
195,406,177.336847263,72.013382457,588,0
196,1385,450.629913505,17.166000848,860,0
197,60,81.901657272,33.942341521,142,0
198,777,609.307774505,92.23915502199999,266,0
199,383,217.420220927,17.740394015,420,0
200,306,341.331588704,82.669851821,1710,0
201,500,119.62512666,31.170545776,960,0
202,121,92.31120671400001,0,11,0
203,260,135.88017889,30.506720016,52,0
204,480,111.928424773,7.248055419,387,0
205,317,139.622856778,0.74725297,44,0
206,22,57.183124703,3.7526958159999997,2,0
207,980,217.069271418,19.309162739,266,0
208,866,256.442420178,7.171451531,174,0
209,1214,193.198948226,12.182686652000001,217,0
210,600,113.351742091,0.598958262,41,0
211,233,247.125381051,19.43184987,66,0
212,26,46.204345443,64.452571659,337,0
213,228,190.352562933,37.524969064000004,192,0
214,330,333.850930618,65.39058074,844,0
215,0,0,136.373749381,5242,0
216,0,0,11.61838238,7768,0
217,1086,325.716285668,10.349361559,220,0
218,493,106.569649564,55.037930228,577,0
219,809,215.97216104,56.67272689,1146,0
220,723,117.543249144,33.977784346,1681,0
221,807,153.160573628,7.485272649,507,0
222,717,162.791968243,2.617564092,230,0
223,108,34.837613063,5.049434593,8,0
224,507,153.563160915,19.658642705,48,0
225,505,136.079384932,5.633914622,46,0
226,315,70.305379301,1.982586568,69,0
227,443,98.654111547,22.80353444,1063,0
228,316,66.719158983,3.3873160299999996,301,0
229,489,100.990546194,0.301370685,680,0
230,435,98.967304719,10.189483694,36,0
231,595,129.817361547,4.350071001,76,0
232,26,162.506868964,95.229574839,29,0
233,49,130.25616654,2.661397131,21,0
234,104,187.208039649,11.081391171,33,0
235,66,290.359604352,8.447471922,14,0
236,88,101.205221764,5.143675043,15,0
237,42,119.012149505,15.487688556,9,0
238,184,257.797607472,16.782883616,32,0
239,7,35.161880061,10,11,0
240,64,194.622770544,9.3130314340000009,12,0
241,90,200.065612767,5.332455339,32,0
242,52,80.182349034,29.605176286,18,0
243,130,96.759261881,26.996313416,67,0
244,15,41.938868874,110.527972346,296,0
