model,tourType,variable,alternative,units,latentClass,value
modeChoice,Path,destCloseToTransit,ride_hail_pooled,util,othmaint,
modeChoice,Path,destCloseToTransit,ride_hail_pooled,util,social,
modeChoice,Path,destCloseToTransit,ride_hail_pooled,util,othdiscr,
modeChoice,Path,destCloseToTransit,ride_hail_pooled,util,atwork,
modeChoice,Path,destCloseToTransit,ride_hail_transit,util,work,-0.358
modeChoice,Path,destCloseToTransit,ride_hail_transit,util,univ,-0.598
modeChoice,Path,destCloseToTransit,ride_hail_transit,util,school,-0.598
modeChoice,Path,destCloseToTransit,ride_hail_transit,util,escort,-0.466
modeChoice,Path,destCloseToTransit,ride_hail_transit,util,shopping,-0.466
modeChoice,Path,destCloseToTransit,ride_hail_transit,util,eatout,-0.466
modeChoice,Path,destCloseToTransit,ride_hail_transit,util,othmaint,-0.466
modeChoice,Path,destCloseToTransit,ride_hail_transit,util,social,-0.466
modeChoice,Path,destCloseToTransit,ride_hail_transit,util,othdiscr,-0.466
modeChoice,Path,destCloseToTransit,ride_hail_transit,util,atwork,-0.502
modeChoice,Path,destCloseToTransit,walk,util,work,
modeChoice,Path,destCloseToTransit,walk,util,univ,
modeChoice,Path,destCloseToTransit,walk,util,school,
modeChoice,Path,destCloseToTransit,walk,util,escort,
modeChoice,Path,destCloseToTransit,walk,util,shopping,
modeChoice,Path,destCloseToTransit,walk,util,eatout,
modeChoice,Path,destCloseToTransit,walk,util,othmaint,
modeChoice,Path,destCloseToTransit,walk,util,social,
modeChoice,Path,destCloseToTransit,walk,util,othdiscr,
modeChoice,Path,destCloseToTransit,walk,util,atwork,
modeChoice,Path,destCloseToTransit,walk_transit,util,work,-0.358
modeChoice,Path,destCloseToTransit,walk_transit,util,univ,-0.598
modeChoice,Path,destCloseToTransit,walk_transit,util,school,-0.598
modeChoice,Path,destCloseToTransit,walk_transit,util,escort,-0.466
modeChoice,Path,destCloseToTransit,walk_transit,util,shopping,-0.466
modeChoice,Path,destCloseToTransit,walk_transit,util,eatout,-0.466
modeChoice,Path,destCloseToTransit,walk_transit,util,othmaint,-0.466
modeChoice,Path,destCloseToTransit,walk_transit,util,social,-0.466
modeChoice,Path,destCloseToTransit,walk_transit,util,othdiscr,-0.466
modeChoice,Path,destCloseToTransit,walk_transit,util,atwork,-0.502
modeChoice,Path,destFarFromTransit,bike,util,work,
modeChoice,Path,destFarFromTransit,bike,util,univ,
modeChoice,Path,destFarFromTransit,bike,util,school,
modeChoice,Path,destFarFromTransit,bike,util,escort,
modeChoice,Path,destFarFromTransit,bike,util,shopping,
modeChoice,Path,destFarFromTransit,bike,util,eatout,
modeChoice,Path,destFarFromTransit,bike,util,othmaint,
modeChoice,Path,destFarFromTransit,bike,util,social,
modeChoice,Path,destFarFromTransit,bike,util,othdiscr,
modeChoice,Path,destFarFromTransit,bike,util,atwork,
modeChoice,Path,destFarFromTransit,bike_transit,util,work,-1.072
modeChoice,Path,destFarFromTransit,bike_transit,util,univ,-1.792
modeChoice,Path,destFarFromTransit,bike_transit,util,school,-1.792
modeChoice,Path,destFarFromTransit,bike_transit,util,escort,-1.4
modeChoice,Path,destFarFromTransit,bike_transit,util,shopping,-1.4
modeChoice,Path,destFarFromTransit,bike_transit,util,eatout,-1.4
modeChoice,Path,destFarFromTransit,bike_transit,util,othmaint,-1.4
modeChoice,Path,destFarFromTransit,bike_transit,util,social,-1.4
modeChoice,Path,destFarFromTransit,bike_transit,util,othdiscr,-1.4
modeChoice,Path,destFarFromTransit,bike_transit,util,atwork,-1.504
modeChoice,Path,destFarFromTransit,car,util,work,
modeChoice,Path,destFarFromTransit,car,util,univ,
modeChoice,Path,destFarFromTransit,car,util,school,
modeChoice,Path,destFarFromTransit,car,util,escort,
modeChoice,Path,destFarFromTransit,car,util,shopping,
modeChoice,Path,destFarFromTransit,car,util,eatout,
modeChoice,Path,destFarFromTransit,car,util,othmaint,
modeChoice,Path,destFarFromTransit,car,util,social,
modeChoice,Path,destFarFromTransit,car,util,othdiscr,
modeChoice,Path,destFarFromTransit,car,util,atwork,
modeChoice,Path,destFarFromTransit,drive_transit,util,work,-1.072
modeChoice,Path,destFarFromTransit,drive_transit,util,univ,-1.792
modeChoice,Path,destFarFromTransit,drive_transit,util,school,-1.792
modeChoice,Path,destFarFromTransit,drive_transit,util,escort,-1.4
modeChoice,Path,destFarFromTransit,drive_transit,util,shopping,-1.4
modeChoice,Path,destFarFromTransit,drive_transit,util,eatout,-1.4
modeChoice,Path,destFarFromTransit,drive_transit,util,othmaint,-1.4
modeChoice,Path,destFarFromTransit,drive_transit,util,social,-1.4
modeChoice,Path,destFarFromTransit,drive_transit,util,othdiscr,-1.4
modeChoice,Path,destFarFromTransit,drive_transit,util,atwork,-1.504
modeChoice,Path,destFarFromTransit,hov2,util,work,
modeChoice,Path,destFarFromTransit,hov2,util,univ,
modeChoice,Path,destFarFromTransit,hov2,util,school,
modeChoice,Path,destFarFromTransit,hov2,util,escort,
modeChoice,Path,destFarFromTransit,hov2,util,shopping,
modeChoice,Path,destFarFromTransit,hov2,util,eatout,
modeChoice,Path,destFarFromTransit,hov2,util,othmaint,
modeChoice,Path,destFarFromTransit,hov2,util,social,
modeChoice,Path,destFarFromTransit,hov2,util,othdiscr,
modeChoice,Path,destFarFromTransit,hov2,util,atwork,
modeChoice,Path,destFarFromTransit,hov2_teleportation,util,work,
modeChoice,Path,destFarFromTransit,hov2_teleportation,util,univ,
modeChoice,Path,destFarFromTransit,hov2_teleportation,util,school,
modeChoice,Path,destFarFromTransit,hov2_teleportation,util,escort,
modeChoice,Path,destFarFromTransit,hov2_teleportation,util,shopping,
modeChoice,Path,destFarFromTransit,hov2_teleportation,util,eatout,
modeChoice,Path,destFarFromTransit,hov2_teleportation,util,othmaint,
modeChoice,Path,destFarFromTransit,hov2_teleportation,util,social,
modeChoice,Path,destFarFromTransit,hov2_teleportation,util,othdiscr,
modeChoice,Path,destFarFromTransit,hov2_teleportation,util,atwork,
modeChoice,Path,destFarFromTransit,hov3,util,work,
modeChoice,Path,destFarFromTransit,hov3,util,univ,
modeChoice,Path,destFarFromTransit,hov3,util,school,
modeChoice,Path,destFarFromTransit,hov3,util,escort,
modeChoice,Path,destFarFromTransit,hov3,util,shopping,
modeChoice,Path,destFarFromTransit,hov3,util,eatout,
modeChoice,Path,destFarFromTransit,hov3,util,othmaint,
modeChoice,Path,destFarFromTransit,hov3,util,social,
modeChoice,Path,destFarFromTransit,hov3,util,othdiscr,
modeChoice,Path,destFarFromTransit,hov3,util,atwork,
modeChoice,Path,destFarFromTransit,hov3_teleportation,util,work,
modeChoice,Path,destFarFromTransit,hov3_teleportation,util,univ,
modeChoice,Path,destFarFromTransit,hov3_teleportation,util,school,
modeChoice,Path,destFarFromTransit,hov3_teleportation,util,escort,
modeChoice,Path,destFarFromTransit,hov3_teleportation,util,shopping,
modeChoice,Path,destFarFromTransit,hov3_teleportation,util,eatout,
modeChoice,Path,destFarFromTransit,hov3_teleportation,util,othmaint,
modeChoice,Path,destFarFromTransit,hov3_teleportation,util,social,
modeChoice,Path,destFarFromTransit,hov3_teleportation,util,othdiscr,
modeChoice,Path,destFarFromTransit,hov3_teleportation,util,atwork,
modeChoice,Path,destFarFromTransit,ride_hail,util,work,
modeChoice,Path,destFarFromTransit,ride_hail,util,univ,
modeChoice,Path,destFarFromTransit,ride_hail,util,school,
modeChoice,Path,destFarFromTransit,ride_hail,util,escort,
modeChoice,Path,destFarFromTransit,ride_hail,util,shopping,
modeChoice,Path,destFarFromTransit,ride_hail,util,eatout,
modeChoice,Path,destFarFromTransit,ride_hail,util,othmaint,
modeChoice,Path,destFarFromTransit,ride_hail,util,social,
modeChoice,Path,destFarFromTransit,ride_hail,util,othdiscr,
modeChoice,Path,destFarFromTransit,ride_hail,util,atwork,
modeChoice,Path,destFarFromTransit,ride_hail_pooled,util,work,
modeChoice,Path,destFarFromTransit,ride_hail_pooled,util,univ,
modeChoice,Path,destFarFromTransit,ride_hail_pooled,util,school,
modeChoice,Path,destFarFromTransit,ride_hail_pooled,util,escort,
modeChoice,Path,destFarFromTransit,ride_hail_pooled,util,shopping,
modeChoice,Path,destFarFromTransit,ride_hail_pooled,util,eatout,
modeChoice,Path,destFarFromTransit,ride_hail_pooled,util,othmaint,
modeChoice,Path,destFarFromTransit,ride_hail_pooled,util,social,
modeChoice,Path,destFarFromTransit,ride_hail_pooled,util,othdiscr,
modeChoice,Path,destFarFromTransit,ride_hail_pooled,util,atwork,
modeChoice,Path,destFarFromTransit,ride_hail_transit,util,work,-1.072
modeChoice,Path,destFarFromTransit,ride_hail_transit,util,univ,-1.792
modeChoice,Path,destFarFromTransit,ride_hail_transit,util,school,-1.792
modeChoice,Path,destFarFromTransit,ride_hail_transit,util,escort,-1.4
modeChoice,Path,destFarFromTransit,ride_hail_transit,util,shopping,-1.4
modeChoice,Path,destFarFromTransit,ride_hail_transit,util,eatout,-1.4
modeChoice,Path,destFarFromTransit,ride_hail_transit,util,othmaint,-1.4
modeChoice,Path,destFarFromTransit,ride_hail_transit,util,social,-1.4
modeChoice,Path,destFarFromTransit,ride_hail_transit,util,othdiscr,-1.4
modeChoice,Path,destFarFromTransit,ride_hail_transit,util,atwork,-1.504
modeChoice,Path,destFarFromTransit,walk,util,work,
modeChoice,Path,destFarFromTransit,walk,util,univ,
modeChoice,Path,destFarFromTransit,walk,util,school,
modeChoice,Path,destFarFromTransit,walk,util,escort,
modeChoice,Path,destFarFromTransit,walk,util,shopping,
modeChoice,Path,destFarFromTransit,walk,util,eatout,
modeChoice,Path,destFarFromTransit,walk,util,othmaint,
modeChoice,Path,destFarFromTransit,walk,util,social,
modeChoice,Path,destFarFromTransit,walk,util,othdiscr,
modeChoice,Path,destFarFromTransit,walk,util,atwork,
modeChoice,Path,destFarFromTransit,walk_transit,util,work,-1.072
modeChoice,Path,destFarFromTransit,walk_transit,util,univ,-1.792
modeChoice,Path,destFarFromTransit,walk_transit,util,school,-1.792
modeChoice,Path,destFarFromTransit,walk_transit,util,escort,-1.4
modeChoice,Path,destFarFromTransit,walk_transit,util,shopping,-1.4
modeChoice,Path,destFarFromTransit,walk_transit,util,eatout,-1.4
modeChoice,Path,destFarFromTransit,walk_transit,util,othmaint,-1.4
modeChoice,Path,destFarFromTransit,walk_transit,util,social,-1.4
modeChoice,Path,destFarFromTransit,walk_transit,util,othdiscr,-1.4
modeChoice,Path,destFarFromTransit,walk_transit,util,atwork,-1.504
modeChoice,Path,transfer,bike,util,work,
modeChoice,Path,transfer,bike,util,univ,
modeChoice,Path,transfer,bike,util,school,
modeChoice,Path,transfer,bike,util,escort,
modeChoice,Path,transfer,bike,util,shopping,
modeChoice,Path,transfer,bike,util,eatout,
modeChoice,Path,transfer,bike,util,othmaint,
modeChoice,Path,transfer,bike,util,social,
modeChoice,Path,transfer,bike,util,othdiscr,
modeChoice,Path,transfer,bike,util,atwork,
modeChoice,Path,transfer,bike_transit,util,work,-0.268
modeChoice,Path,transfer,bike_transit,util,univ,-0.448
modeChoice,Path,transfer,bike_transit,util,school,-0.448
modeChoice,Path,transfer,bike_transit,util,escort,-0.35
modeChoice,Path,transfer,bike_transit,util,shopping,-0.35
modeChoice,Path,transfer,bike_transit,util,eatout,-0.35
modeChoice,Path,transfer,bike_transit,util,othmaint,-0.35
modeChoice,Path,transfer,bike_transit,util,social,-0.35
modeChoice,Path,transfer,bike_transit,util,othdiscr,-0.35
modeChoice,Path,transfer,bike_transit,util,atwork,-0.376
modeChoice,Path,transfer,car,util,work,
modeChoice,Path,transfer,car,util,univ,
modeChoice,Path,transfer,car,util,school,
modeChoice,Path,transfer,car,util,escort,
modeChoice,Path,transfer,car,util,shopping,
modeChoice,Path,transfer,car,util,eatout,
modeChoice,Path,transfer,car,util,othmaint,
modeChoice,Path,transfer,car,util,social,
modeChoice,Path,transfer,car,util,othdiscr,
modeChoice,Path,transfer,car,util,atwork,
modeChoice,Path,transfer,drive_transit,util,work,-0.536
modeChoice,Path,transfer,drive_transit,util,univ,-0.896
modeChoice,Path,transfer,drive_transit,util,school,-0.896
modeChoice,Path,transfer,drive_transit,util,escort,-0.7
modeChoice,Path,transfer,drive_transit,util,shopping,-0.7
modeChoice,Path,transfer,drive_transit,util,eatout,-0.7
modeChoice,Path,transfer,drive_transit,util,othmaint,-0.7
modeChoice,Path,transfer,drive_transit,util,social,-0.7
modeChoice,Path,transfer,drive_transit,util,othdiscr,-0.7
modeChoice,Path,transfer,drive_transit,util,atwork,-0.752
modeChoice,Path,transfer,hov2,util,work,
modeChoice,Path,transfer,hov2,util,univ,
modeChoice,Path,transfer,hov2,util,school,
modeChoice,Path,transfer,hov2,util,escort,
modeChoice,Path,transfer,hov2,util,shopping,
modeChoice,Path,transfer,hov2,util,eatout,
modeChoice,Path,transfer,hov2,util,othmaint,
modeChoice,Path,transfer,hov2,util,social,
modeChoice,Path,transfer,hov2,util,othdiscr,
modeChoice,Path,transfer,hov2,util,atwork,
modeChoice,Path,transfer,hov2_teleportation,util,work,
modeChoice,Path,transfer,hov2_teleportation,util,univ,
modeChoice,Path,transfer,hov2_teleportation,util,school,
modeChoice,Path,transfer,hov2_teleportation,util,escort,
modeChoice,Path,transfer,hov2_teleportation,util,shopping,
modeChoice,Path,transfer,hov2_teleportation,util,eatout,
modeChoice,Path,transfer,hov2_teleportation,util,othmaint,
modeChoice,Path,transfer,hov2_teleportation,util,social,
modeChoice,Path,transfer,hov2_teleportation,util,othdiscr,
modeChoice,Path,transfer,hov2_teleportation,util,atwork,
modeChoice,Path,transfer,hov3,util,work,
modeChoice,Path,transfer,hov3,util,univ,
modeChoice,Path,transfer,hov3,util,school,
modeChoice,Path,transfer,hov3,util,escort,
modeChoice,Path,transfer,hov3,util,shopping,
modeChoice,Path,transfer,hov3,util,eatout,
modeChoice,Path,transfer,hov3,util,othmaint,
modeChoice,Path,transfer,hov3,util,social,
modeChoice,Path,transfer,hov3,util,othdiscr,
modeChoice,Path,transfer,hov3,util,atwork,
modeChoice,Path,transfer,hov3_teleportation,util,work,
modeChoice,Path,transfer,hov3_teleportation,util,univ,
modeChoice,Path,transfer,hov3_teleportation,util,school,
modeChoice,Path,transfer,hov3_teleportation,util,escort,
modeChoice,Path,transfer,hov3_teleportation,util,shopping,
modeChoice,Path,transfer,hov3_teleportation,util,eatout,
modeChoice,Path,transfer,hov3_teleportation,util,othmaint,
modeChoice,Path,transfer,hov3_teleportation,util,social,
modeChoice,Path,transfer,hov3_teleportation,util,othdiscr,
modeChoice,Path,transfer,hov3_teleportation,util,atwork,
modeChoice,Path,transfer,ride_hail,util,work,
modeChoice,Path,transfer,ride_hail,util,univ,
modeChoice,Path,transfer,ride_hail,util,school,
modeChoice,Path,transfer,ride_hail,util,escort,
modeChoice,Path,transfer,ride_hail,util,shopping,
modeChoice,Path,transfer,ride_hail,util,eatout,
modeChoice,Path,transfer,ride_hail,util,othmaint,
modeChoice,Path,transfer,ride_hail,util,social,
modeChoice,Path,transfer,ride_hail,util,othdiscr,
modeChoice,Path,transfer,ride_hail,util,atwork,
modeChoice,Path,transfer,ride_hail_pooled,util,work,
modeChoice,Path,transfer,ride_hail_pooled,util,univ,
modeChoice,Path,transfer,ride_hail_pooled,util,school,
modeChoice,Path,transfer,ride_hail_pooled,util,escort,
modeChoice,Path,transfer,ride_hail_pooled,util,shopping,
modeChoice,Path,transfer,ride_hail_pooled,util,eatout,
modeChoice,Path,transfer,ride_hail_pooled,util,othmaint,
modeChoice,Path,transfer,ride_hail_pooled,util,social,
modeChoice,Path,transfer,ride_hail_pooled,util,othdiscr,
modeChoice,Path,transfer,ride_hail_pooled,util,atwork,
modeChoice,Path,transfer,ride_hail_transit,util,work,-0.536
modeChoice,Path,transfer,ride_hail_transit,util,univ,-0.896
modeChoice,Path,transfer,ride_hail_transit,util,school,-0.896
modeChoice,Path,transfer,ride_hail_transit,util,escort,-0.7
modeChoice,Path,transfer,ride_hail_transit,util,shopping,-0.7
modeChoice,Path,transfer,ride_hail_transit,util,eatout,-0.7
modeChoice,Path,transfer,ride_hail_transit,util,othmaint,-0.7
modeChoice,Path,transfer,ride_hail_transit,util,social,-0.7
modeChoice,Path,transfer,ride_hail_transit,util,othdiscr,-0.7
modeChoice,Path,transfer,ride_hail_transit,util,atwork,-0.752
modeChoice,Path,transfer,walk,util,work,
modeChoice,Path,transfer,walk,util,univ,
modeChoice,Path,transfer,walk,util,school,
modeChoice,Path,transfer,walk,util,escort,
modeChoice,Path,transfer,walk,util,shopping,
modeChoice,Path,transfer,walk,util,eatout,
modeChoice,Path,transfer,walk,util,othmaint,
modeChoice,Path,transfer,walk,util,social,
modeChoice,Path,transfer,walk,util,othdiscr,
modeChoice,Path,transfer,walk,util,atwork,
modeChoice,Path,transfer,walk_transit,util,work,-0.268
modeChoice,Path,transfer,walk_transit,util,univ,-0.448
modeChoice,Path,transfer,walk_transit,util,school,-0.448
modeChoice,Path,transfer,walk_transit,util,escort,-0.35
modeChoice,Path,transfer,walk_transit,util,shopping,-0.35
modeChoice,Path,transfer,walk_transit,util,eatout,-0.35
modeChoice,Path,transfer,walk_transit,util,othmaint,-0.35
modeChoice,Path,transfer,walk_transit,util,social,-0.35
modeChoice,Path,transfer,walk_transit,util,othdiscr,-0.35
modeChoice,Path,transfer,walk_transit,util,atwork,-0.376
modeChoice,Path,shortWalkDist,bike,util/mile,work,
modeChoice,Path,shortWalkDist,bike,util/mile,univ,
modeChoice,Path,shortWalkDist,bike,util/mile,school,
modeChoice,Path,shortWalkDist,bike,util/mile,escort,
modeChoice,Path,shortWalkDist,bike,util/mile,shopping,
modeChoice,Path,shortWalkDist,bike,util/mile,eatout,
modeChoice,Path,shortWalkDist,bike,util/mile,othmaint,
modeChoice,Path,shortWalkDist,bike,util/mile,social,
modeChoice,Path,shortWalkDist,bike,util/mile,othdiscr,
modeChoice,Path,shortWalkDist,bike,util/mile,atwork,
modeChoice,Path,shortWalkDist,bike_transit,util/mile,work,
modeChoice,Path,shortWalkDist,bike_transit,util/mile,univ,
modeChoice,Path,shortWalkDist,bike_transit,util/mile,school,
modeChoice,Path,shortWalkDist,bike_transit,util/mile,escort,
modeChoice,Path,shortWalkDist,bike_transit,util/mile,shopping,
modeChoice,Path,shortWalkDist,bike_transit,util/mile,eatout,
modeChoice,Path,shortWalkDist,bike_transit,util/mile,othmaint,
modeChoice,Path,shortWalkDist,bike_transit,util/mile,social,
modeChoice,Path,shortWalkDist,bike_transit,util/mile,othdiscr,
modeChoice,Path,shortWalkDist,bike_transit,util/mile,atwork,
modeChoice,Path,shortWalkDist,car,util/mile,work,
modeChoice,Path,shortWalkDist,car,util/mile,univ,
modeChoice,Path,shortWalkDist,car,util/mile,school,
modeChoice,Path,shortWalkDist,car,util/mile,escort,
modeChoice,Path,shortWalkDist,car,util/mile,shopping,
modeChoice,Path,shortWalkDist,car,util/mile,eatout,
modeChoice,Path,shortWalkDist,car,util/mile,othmaint,
modeChoice,Path,shortWalkDist,car,util/mile,social,
modeChoice,Path,shortWalkDist,car,util/mile,othdiscr,
modeChoice,Path,shortWalkDist,car,util/mile,atwork,
modeChoice,Path,shortWalkDist,drive_transit,util/mile,work,
modeChoice,Path,shortWalkDist,drive_transit,util/mile,univ,
modeChoice,Path,shortWalkDist,drive_transit,util/mile,school,
modeChoice,Path,shortWalkDist,drive_transit,util/mile,escort,
modeChoice,Path,shortWalkDist,drive_transit,util/mile,shopping,
modeChoice,Path,shortWalkDist,drive_transit,util/mile,eatout,
modeChoice,Path,shortWalkDist,drive_transit,util/mile,othmaint,
modeChoice,Path,shortWalkDist,drive_transit,util/mile,social,
modeChoice,Path,shortWalkDist,drive_transit,util/mile,othdiscr,
modeChoice,Path,shortWalkDist,drive_transit,util/mile,atwork,
modeChoice,Path,shortWalkDist,hov2,util/mile,work,
modeChoice,Path,shortWalkDist,hov2,util/mile,univ,
modeChoice,Path,shortWalkDist,hov2,util/mile,school,
modeChoice,Path,shortWalkDist,hov2,util/mile,escort,
modeChoice,Path,shortWalkDist,hov2,util/mile,shopping,
modeChoice,Path,shortWalkDist,hov2,util/mile,eatout,
modeChoice,Path,shortWalkDist,hov2,util/mile,othmaint,
modeChoice,Path,shortWalkDist,hov2,util/mile,social,
modeChoice,Path,shortWalkDist,hov2,util/mile,othdiscr,
modeChoice,Path,shortWalkDist,hov2,util/mile,atwork,
modeChoice,Path,shortWalkDist,hov2_teleportation,util/mile,work,
modeChoice,Path,shortWalkDist,hov2_teleportation,util/mile,univ,
modeChoice,Path,shortWalkDist,hov2_teleportation,util/mile,school,
modeChoice,Path,shortWalkDist,hov2_teleportation,util/mile,escort,
modeChoice,Path,shortWalkDist,hov2_teleportation,util/mile,shopping,
modeChoice,Path,shortWalkDist,hov2_teleportation,util/mile,eatout,
modeChoice,Path,shortWalkDist,hov2_teleportation,util/mile,othmaint,
modeChoice,Path,shortWalkDist,hov2_teleportation,util/mile,social,
modeChoice,Path,shortWalkDist,hov2_teleportation,util/mile,othdiscr,
modeChoice,Path,shortWalkDist,hov2_teleportation,util/mile,atwork,
modeChoice,Path,shortWalkDist,hov3,util/mile,work,
modeChoice,Path,shortWalkDist,hov3,util/mile,univ,
modeChoice,Path,shortWalkDist,hov3,util/mile,school,
modeChoice,Path,shortWalkDist,hov3,util/mile,escort,
modeChoice,Path,shortWalkDist,hov3,util/mile,shopping,
modeChoice,Path,shortWalkDist,hov3,util/mile,eatout,
modeChoice,Path,shortWalkDist,hov3,util/mile,othmaint,
modeChoice,Path,shortWalkDist,hov3,util/mile,social,
modeChoice,Path,shortWalkDist,hov3,util/mile,othdiscr,
modeChoice,Path,shortWalkDist,hov3,util/mile,atwork,
modeChoice,Path,shortWalkDist,hov3_teleportation,util/mile,work,
modeChoice,Path,shortWalkDist,hov3_teleportation,util/mile,univ,
modeChoice,Path,shortWalkDist,hov3_teleportation,util/mile,school,
modeChoice,Path,shortWalkDist,hov3_teleportation,util/mile,escort,
modeChoice,Path,shortWalkDist,hov3_teleportation,util/mile,shopping,
modeChoice,Path,shortWalkDist,hov3_teleportation,util/mile,eatout,
modeChoice,Path,shortWalkDist,hov3_teleportation,util/mile,othmaint,
modeChoice,Path,shortWalkDist,hov3_teleportation,util/mile,social,
modeChoice,Path,shortWalkDist,hov3_teleportation,util/mile,othdiscr,
modeChoice,Path,shortWalkDist,hov3_teleportation,util/mile,atwork,
modeChoice,Path,shortWalkDist,ride_hail,util/mile,work,
modeChoice,Path,shortWalkDist,ride_hail,util/mile,univ,
modeChoice,Path,shortWalkDist,ride_hail,util/mile,school,
modeChoice,Path,shortWalkDist,ride_hail,util/mile,escort,
modeChoice,Path,shortWalkDist,ride_hail,util/mile,shopping,
modeChoice,Path,shortWalkDist,ride_hail,util/mile,eatout,
modeChoice,Path,shortWalkDist,ride_hail,util/mile,othmaint,
modeChoice,Path,shortWalkDist,ride_hail,util/mile,social,
modeChoice,Path,shortWalkDist,ride_hail,util/mile,othdiscr,
modeChoice,Path,shortWalkDist,ride_hail,util/mile,atwork,
modeChoice,Path,shortWalkDist,ride_hail_pooled,util/mile,work,
modeChoice,Path,shortWalkDist,ride_hail_pooled,util/mile,univ,
modeChoice,Path,shortWalkDist,ride_hail_pooled,util/mile,school,
modeChoice,Path,shortWalkDist,ride_hail_pooled,util/mile,escort,
modeChoice,Path,shortWalkDist,ride_hail_pooled,util/mile,shopping,
modeChoice,Path,shortWalkDist,ride_hail_pooled,util/mile,eatout,
modeChoice,Path,shortWalkDist,ride_hail_pooled,util/mile,othmaint,
modeChoice,Path,shortWalkDist,ride_hail_pooled,util/mile,social,
modeChoice,Path,shortWalkDist,ride_hail_pooled,util/mile,othdiscr,
modeChoice,Path,shortWalkDist,ride_hail_pooled,util/mile,atwork,
modeChoice,Path,shortWalkDist,ride_hail_transit,util/mile,work,
modeChoice,Path,shortWalkDist,ride_hail_transit,util/mile,univ,
modeChoice,Path,shortWalkDist,ride_hail_transit,util/mile,school,
modeChoice,Path,shortWalkDist,ride_hail_transit,util/mile,escort,
modeChoice,Path,shortWalkDist,ride_hail_transit,util/mile,shopping,
modeChoice,Path,shortWalkDist,ride_hail_transit,util/mile,eatout,
modeChoice,Path,shortWalkDist,ride_hail_transit,util/mile,othmaint,
modeChoice,Path,shortWalkDist,ride_hail_transit,util/mile,social,
modeChoice,Path,shortWalkDist,ride_hail_transit,util/mile,othdiscr,
modeChoice,Path,shortWalkDist,ride_hail_transit,util/mile,atwork,
modeChoice,Path,shortWalkDist,walk,util/mile,work,-1.072
modeChoice,Path,shortWalkDist,walk,util/mile,univ,-1.792
modeChoice,Path,shortWalkDist,walk,util/mile,school,-1.792
modeChoice,Path,shortWalkDist,walk,util/mile,escort,-1.4
modeChoice,Path,shortWalkDist,walk,util/mile,shopping,-1.4
modeChoice,Path,shortWalkDist,walk,util/mile,eatout,-1.4
modeChoice,Path,shortWalkDist,walk,util/mile,othmaint,-1.4
modeChoice,Path,shortWalkDist,walk,util/mile,social,-1.4
modeChoice,Path,shortWalkDist,walk,util/mile,othdiscr,-1.4
modeChoice,Path,shortWalkDist,walk,util/mile,atwork,-1.504
modeChoice,Path,shortWalkDist,walk_transit,util/mile,work,-1.072
modeChoice,Path,shortWalkDist,walk_transit,util/mile,univ,-1.792
modeChoice,Path,shortWalkDist,walk_transit,util/mile,school,-1.792
modeChoice,Path,shortWalkDist,walk_transit,util/mile,escort,-1.4
modeChoice,Path,shortWalkDist,walk_transit,util/mile,shopping,-1.4
modeChoice,Path,shortWalkDist,walk_transit,util/mile,eatout,-1.4
modeChoice,Path,shortWalkDist,walk_transit,util/mile,othmaint,-1.4
modeChoice,Path,shortWalkDist,walk_transit,util/mile,social,-1.4
modeChoice,Path,shortWalkDist,walk_transit,util/mile,othdiscr,-1.4
modeChoice,Path,shortWalkDist,walk_transit,util/mile,atwork,-1.504
modeChoice,Path,longWalkDist,bike,util/mile,work,
modeChoice,Path,longWalkDist,bike,util/mile,univ,
modeChoice,Path,longWalkDist,bike,util/mile,school,
modeChoice,Path,longWalkDist,bike,util/mile,escort,
modeChoice,Path,longWalkDist,bike,util/mile,shopping,
modeChoice,Path,longWalkDist,bike,util/mile,eatout,
modeChoice,Path,longWalkDist,bike,util/mile,othmaint,
modeChoice,Path,longWalkDist,bike,util/mile,social,
modeChoice,Path,longWalkDist,bike,util/mile,othdiscr,
modeChoice,Path,longWalkDist,bike,util/mile,atwork,
modeChoice,Path,longWalkDist,bike_transit,util/mile,work,
modeChoice,Path,longWalkDist,bike_transit,util/mile,univ,
modeChoice,Path,longWalkDist,bike_transit,util/mile,school,
modeChoice,Path,longWalkDist,bike_transit,util/mile,escort,
modeChoice,Path,longWalkDist,bike_transit,util/mile,shopping,
modeChoice,Path,longWalkDist,bike_transit,util/mile,eatout,
modeChoice,Path,longWalkDist,bike_transit,util/mile,othmaint,
modeChoice,Path,longWalkDist,bike_transit,util/mile,social,
modeChoice,Path,longWalkDist,bike_transit,util/mile,othdiscr,
modeChoice,Path,longWalkDist,bike_transit,util/mile,atwork,
modeChoice,Path,longWalkDist,car,util/mile,work,
modeChoice,Path,longWalkDist,car,util/mile,univ,
modeChoice,Path,longWalkDist,car,util/mile,school,
modeChoice,Path,longWalkDist,car,util/mile,escort,
modeChoice,Path,longWalkDist,car,util/mile,shopping,
modeChoice,Path,longWalkDist,car,util/mile,eatout,
modeChoice,Path,longWalkDist,car,util/mile,othmaint,
modeChoice,Path,longWalkDist,car,util/mile,social,
modeChoice,Path,longWalkDist,car,util/mile,othdiscr,
modeChoice,Path,longWalkDist,car,util/mile,atwork,
modeChoice,Path,longWalkDist,drive_transit,util/mile,work,
modeChoice,Path,longWalkDist,drive_transit,util/mile,univ,
modeChoice,Path,longWalkDist,drive_transit,util/mile,school,
