taz,parkingType,pricingModel,chargingPointType,numStalls,feeInCents,reservedFor
684,Residential,Block,NoCharger,1000000,0,Any
684,Workplace,Block,NoCharger,1000000,0,Any
685,Public,Block,NoCharger,1000000,0,Any
685,Residential,Block,NoCharger,1000000,0,Any
685,Workplace,Block,NoCharger,1000000,0,Any
686,Public,Block,NoCharger,1000000,0,Any
686,Residential,Block,NoCharger,1000000,0,Any
686,Workplace,Block,NoCharger,1000000,0,Any
687,Public,Block,NoCharger,1000000,0,Any
687,Residential,Block,NoCharger,1000000,0,Any
687,Workplace,Block,NoCharger,1000000,0,Any
688,Public,Block,NoCharger,1000000,0,Any
688,Residential,Block,NoCharger,1000000,0,Any
688,Workplace,Block,NoCharger,1000000,0,Any
689,Public,Block,NoCharger,1000000,0,Any
689,Residential,Block,NoCharger,1000000,0,Any
689,Workplace,Block,NoCharger,1000000,0,Any
690,Public,Block,NoCharger,1000000,0,Any
690,Residential,Block,NoCharger,1000000,0,Any
690,Workplace,Block,NoCharger,1000000,0,Any
691,Public,Block,NoCharger,1000000,0,Any
691,Residential,Block,NoCharger,1000000,0,Any
691,Workplace,Block,NoCharger,1000000,0,Any
692,Public,Block,NoCharger,1000000,0,Any
692,Residential,Block,NoCharger,1000000,0,Any
692,Workplace,Block,NoCharger,1000000,0,Any
693,Public,Block,NoCharger,1000000,0,Any
693,Residential,Block,NoCharger,1000000,0,Any
693,Workplace,Block,NoCharger,1000000,0,Any
694,Public,Block,NoCharger,1000000,0,Any
694,Residential,Block,NoCharger,1000000,0,Any
694,Workplace,Block,NoCharger,1000000,0,Any
695,Public,Block,NoCharger,1000000,0,Any
695,Residential,Block,NoCharger,1000000,0,Any
695,Workplace,Block,NoCharger,1000000,0,Any
696,Public,Block,NoCharger,1000000,0,Any
696,Residential,Block,NoCharger,1000000,0,Any
696,Workplace,Block,NoCharger,1000000,0,Any
697,Public,Block,NoCharger,1000000,0,Any
697,Residential,Block,NoCharger,1000000,0,Any
697,Workplace,Block,NoCharger,1000000,0,Any
698,Public,Block,NoCharger,1000000,0,Any
698,Residential,Block,NoCharger,1000000,0,Any
698,Workplace,Block,NoCharger,1000000,0,Any
699,Public,Block,NoCharger,1000000,0,Any
699,Residential,Block,NoCharger,1000000,0,Any
699,Workplace,Block,NoCharger,1000000,0,Any
700,Public,Block,NoCharger,1000000,0,Any
700,Residential,Block,NoCharger,1000000,0,Any
700,Workplace,Block,NoCharger,1000000,0,Any
701,Public,Block,NoCharger,1000000,0,Any
701,Residential,Block,NoCharger,1000000,0,Any
701,Workplace,Block,NoCharger,1000000,0,Any
702,Public,Block,NoCharger,1000000,0,Any
702,Residential,Block,NoCharger,1000000,0,Any
702,Workplace,Block,NoCharger,1000000,0,Any
703,Public,Block,NoCharger,1000000,0,Any
703,Residential,Block,NoCharger,1000000,0,Any
703,Workplace,Block,NoCharger,1000000,0,Any
704,Public,Block,NoCharger,1000000,0,Any
704,Residential,Block,NoCharger,1000000,0,Any
704,Workplace,Block,NoCharger,1000000,0,Any
705,Public,Block,NoCharger,1000000,0,Any
705,Residential,Block,NoCharger,1000000,0,Any
705,Workplace,Block,NoCharger,1000000,0,Any
706,Public,Block,NoCharger,1000000,0,Any
706,Residential,Block,NoCharger,1000000,0,Any
706,Workplace,Block,NoCharger,1000000,0,Any
707,Public,Block,NoCharger,1000000,0,Any
707,Residential,Block,NoCharger,1000000,0,Any
707,Workplace,Block,NoCharger,1000000,0,Any
708,Public,Block,NoCharger,1000000,0,Any
708,Residential,Block,NoCharger,1000000,0,Any
708,Workplace,Block,NoCharger,1000000,0,Any
709,Public,Block,NoCharger,1000000,0,Any
709,Residential,Block,NoCharger,1000000,0,Any
709,Workplace,Block,NoCharger,1000000,0,Any
710,Public,Block,NoCharger,1000000,0,Any
710,Residential,Block,NoCharger,1000000,0,Any
710,Workplace,Block,NoCharger,1000000,0,Any
711,Public,Block,NoCharger,1000000,0,Any
711,Residential,Block,NoCharger,1000000,0,Any
711,Workplace,Block,NoCharger,1000000,0,Any
712,Public,Block,NoCharger,1000000,0,Any
712,Residential,Block,NoCharger,1000000,0,Any
712,Workplace,Block,NoCharger,1000000,0,Any
713,Public,Block,NoCharger,1000000,0,Any
713,Residential,Block,NoCharger,1000000,0,Any
713,Workplace,Block,NoCharger,1000000,0,Any
714,Public,Block,NoCharger,1000000,0,Any
714,Residential,Block,NoCharger,1000000,0,Any
714,Workplace,Block,NoCharger,1000000,0,Any
715,Public,Block,NoCharger,1000000,0,Any
715,Residential,Block,NoCharger,1000000,0,Any
715,Workplace,Block,NoCharger,1000000,0,Any
716,Public,Block,NoCharger,1000000,0,Any
716,Residential,Block,NoCharger,1000000,0,Any
716,Workplace,Block,NoCharger,1000000,0,Any
717,Public,Block,NoCharger,1000000,0,Any
717,Residential,Block,NoCharger,1000000,0,Any
717,Workplace,Block,NoCharger,1000000,0,Any
718,Public,Block,NoCharger,1000000,0,Any
718,Residential,Block,NoCharger,1000000,0,Any
718,Workplace,Block,NoCharger,1000000,0,Any
719,Public,Block,NoCharger,1000000,0,Any
719,Residential,Block,NoCharger,1000000,0,Any
719,Workplace,Block,NoCharger,1000000,0,Any
720,Public,Block,NoCharger,1000000,0,Any
720,Residential,Block,NoCharger,1000000,0,Any
720,Workplace,Block,NoCharger,1000000,0,Any
721,Public,Block,NoCharger,1000000,0,Any
721,Residential,Block,NoCharger,1000000,0,Any
721,Workplace,Block,NoCharger,1000000,0,Any
722,Public,Block,NoCharger,1000000,0,Any
722,Residential,Block,NoCharger,1000000,0,Any
722,Workplace,Block,NoCharger,1000000,0,Any
723,Public,Block,NoCharger,1000000,0,Any
723,Residential,Block,NoCharger,1000000,0,Any
723,Workplace,Block,NoCharger,1000000,0,Any
724,Public,Block,NoCharger,1000000,0,Any
724,Residential,Block,NoCharger,1000000,0,Any
724,Workplace,Block,NoCharger,1000000,0,Any
725,Public,Block,NoCharger,1000000,0,Any
725,Residential,Block,NoCharger,1000000,0,Any
725,Workplace,Block,NoCharger,1000000,0,Any
726,Public,Block,NoCharger,1000000,0,Any
726,Residential,Block,NoCharger,1000000,0,Any
726,Workplace,Block,NoCharger,1000000,0,Any
727,Public,Block,NoCharger,1000000,0,Any
727,Residential,Block,NoCharger,1000000,0,Any
727,Workplace,Block,NoCharger,1000000,0,Any
728,Public,Block,NoCharger,1000000,0,Any
728,Residential,Block,NoCharger,1000000,0,Any
728,Workplace,Block,NoCharger,1000000,0,Any
729,Public,Block,NoCharger,1000000,0,Any
729,Residential,Block,NoCharger,1000000,0,Any
729,Workplace,Block,NoCharger,1000000,0,Any
730,Public,Block,NoCharger,1000000,0,Any
730,Residential,Block,NoCharger,1000000,0,Any
730,Workplace,Block,NoCharger,1000000,0,Any
731,Public,Block,NoCharger,1000000,0,Any
731,Residential,Block,NoCharger,1000000,0,Any
731,Workplace,Block,NoCharger,1000000,0,Any
732,Public,Block,NoCharger,1000000,0,Any
732,Residential,Block,NoCharger,1000000,0,Any
732,Workplace,Block,NoCharger,1000000,0,Any
733,Public,Block,NoCharger,1000000,0,Any
733,Residential,Block,NoCharger,1000000,0,Any
733,Workplace,Block,NoCharger,1000000,0,Any
734,Public,Block,NoCharger,1000000,0,Any
734,Residential,Block,NoCharger,1000000,0,Any
734,Workplace,Block,NoCharger,1000000,0,Any
735,Public,Block,NoCharger,1000000,0,Any
735,Residential,Block,NoCharger,1000000,0,Any
735,Workplace,Block,NoCharger,1000000,0,Any
736,Public,Block,NoCharger,1000000,0,Any
736,Residential,Block,NoCharger,1000000,0,Any
736,Workplace,Block,NoCharger,1000000,0,Any
737,Public,Block,NoCharger,1000000,0,Any
737,Residential,Block,NoCharger,1000000,0,Any
737,Workplace,Block,NoCharger,1000000,0,Any
738,Public,Block,NoCharger,1000000,0,Any
738,Residential,Block,NoCharger,1000000,0,Any
738,Workplace,Block,NoCharger,1000000,0,Any
739,Public,Block,NoCharger,1000000,0,Any
739,Residential,Block,NoCharger,1000000,0,Any
739,Workplace,Block,NoCharger,1000000,0,Any
740,Public,Block,NoCharger,1000000,0,Any
740,Residential,Block,NoCharger,1000000,0,Any
740,Workplace,Block,NoCharger,1000000,0,Any
741,Public,Block,NoCharger,1000000,0,Any
741,Residential,Block,NoCharger,1000000,0,Any
741,Workplace,Block,NoCharger,1000000,0,Any
742,Public,Block,NoCharger,1000000,100,Any
742,Residential,Block,NoCharger,1000000,100,Any
742,Workplace,Block,NoCharger,1000000,100,Any
743,Public,Block,NoCharger,1000000,0,Any
743,Residential,Block,NoCharger,1000000,0,Any
743,Workplace,Block,NoCharger,1000000,0,Any
744,Public,Block,NoCharger,1000000,0,Any
744,Residential,Block,NoCharger,1000000,0,Any
744,Workplace,Block,NoCharger,1000000,0,Any
745,Public,Block,NoCharger,1000000,0,Any
745,Residential,Block,NoCharger,1000000,0,Any
745,Workplace,Block,NoCharger,1000000,0,Any
746,Public,Block,NoCharger,1000000,0,Any
746,Residential,Block,NoCharger,1000000,0,Any
746,Workplace,Block,NoCharger,1000000,0,Any
747,Public,Block,NoCharger,1000000,0,Any
747,Residential,Block,NoCharger,1000000,0,Any
747,Workplace,Block,NoCharger,1000000,0,Any
748,Public,Block,NoCharger,1000000,0,Any
748,Residential,Block,NoCharger,1000000,0,Any
748,Workplace,Block,NoCharger,1000000,0,Any
749,Public,Block,NoCharger,1000000,0,Any
749,Residential,Block,NoCharger,1000000,0,Any
749,Workplace,Block,NoCharger,1000000,0,Any
750,Public,Block,NoCharger,1000000,0,Any
750,Residential,Block,NoCharger,1000000,0,Any
750,Workplace,Block,NoCharger,1000000,0,Any
751,Public,Block,NoCharger,1000000,0,Any
751,Residential,Block,NoCharger,1000000,0,Any
751,Workplace,Block,NoCharger,1000000,0,Any
752,Public,Block,NoCharger,1000000,0,Any
752,Residential,Block,NoCharger,1000000,0,Any
752,Workplace,Block,NoCharger,1000000,0,Any
753,Public,Block,NoCharger,1000000,0,Any
753,Residential,Block,NoCharger,1000000,0,Any
753,Workplace,Block,NoCharger,1000000,0,Any
754,Public,Block,NoCharger,1000000,0,Any
754,Residential,Block,NoCharger,1000000,0,Any
754,Workplace,Block,NoCharger,1000000,0,Any
755,Public,Block,NoCharger,1000000,0,Any
755,Residential,Block,NoCharger,1000000,0,Any
755,Workplace,Block,NoCharger,1000000,0,Any
756,Public,Block,NoCharger,1000000,0,Any
756,Residential,Block,NoCharger,1000000,0,Any
756,Workplace,Block,NoCharger,1000000,0,Any
757,Public,Block,NoCharger,1000000,0,Any
757,Residential,Block,NoCharger,1000000,0,Any
757,Workplace,Block,NoCharger,1000000,0,Any
758,Public,Block,NoCharger,1000000,0,Any
758,Residential,Block,NoCharger,1000000,0,Any
758,Workplace,Block,NoCharger,1000000,0,Any
759,Public,Block,NoCharger,1000000,0,Any
759,Residential,Block,NoCharger,1000000,0,Any
759,Workplace,Block,NoCharger,1000000,0,Any
760,Public,Block,NoCharger,1000000,0,Any
760,Residential,Block,NoCharger,1000000,0,Any
760,Workplace,Block,NoCharger,1000000,0,Any
761,Public,Block,NoCharger,1000000,0,Any
761,Residential,Block,NoCharger,1000000,0,Any
761,Workplace,Block,NoCharger,1000000,0,Any
762,Public,Block,NoCharger,1000000,0,Any
762,Residential,Block,NoCharger,1000000,0,Any
762,Workplace,Block,NoCharger,1000000,0,Any
763,Public,Block,NoCharger,1000000,0,Any
763,Residential,Block,NoCharger,1000000,0,Any
763,Workplace,Block,NoCharger,1000000,0,Any
764,Public,Block,NoCharger,1000000,0,Any
764,Residential,Block,NoCharger,1000000,0,Any
764,Workplace,Block,NoCharger,1000000,0,Any
765,Public,Block,NoCharger,1000000,0,Any
765,Residential,Block,NoCharger,1000000,0,Any
765,Workplace,Block,NoCharger,1000000,0,Any
766,Public,Block,NoCharger,1000000,0,Any
766,Residential,Block,NoCharger,1000000,0,Any
766,Workplace,Block,NoCharger,1000000,0,Any
767,Public,Block,NoCharger,1000000,0,Any
767,Residential,Block,NoCharger,1000000,0,Any
767,Workplace,Block,NoCharger,1000000,0,Any
768,Public,Block,NoCharger,1000000,0,Any
768,Residential,Block,NoCharger,1000000,0,Any
768,Workplace,Block,NoCharger,1000000,0,Any
769,Public,Block,NoCharger,1000000,0,Any
769,Residential,Block,NoCharger,1000000,0,Any
769,Workplace,Block,NoCharger,1000000,0,Any
770,Public,Block,NoCharger,1000000,0,Any
770,Residential,Block,NoCharger,1000000,0,Any
770,Workplace,Block,NoCharger,1000000,0,Any
771,Public,Block,NoCharger,1000000,0,Any
771,Residential,Block,NoCharger,1000000,0,Any
771,Workplace,Block,NoCharger,1000000,0,Any
772,Public,Block,NoCharger,1000000,0,Any
772,Residential,Block,NoCharger,1000000,0,Any
772,Workplace,Block,NoCharger,1000000,0,Any
773,Public,Block,NoCharger,1000000,0,Any
773,Residential,Block,NoCharger,1000000,0,Any
773,Workplace,Block,NoCharger,1000000,0,Any
774,Public,Block,NoCharger,1000000,0,Any
774,Residential,Block,NoCharger,1000000,0,Any
774,Workplace,Block,NoCharger,1000000,0,Any
775,Public,Block,NoCharger,1000000,0,Any
775,Residential,Block,NoCharger,1000000,0,Any
775,Workplace,Block,NoCharger,1000000,0,Any
776,Public,Block,NoCharger,1000000,0,Any
776,Residential,Block,NoCharger,1000000,0,Any
776,Workplace,Block,NoCharger,1000000,0,Any
777,Public,Block,NoCharger,1000000,0,Any
777,Residential,Block,NoCharger,1000000,0,Any
777,Workplace,Block,NoCharger,1000000,0,Any
778,Public,Block,NoCharger,1000000,0,Any
778,Residential,Block,NoCharger,1000000,0,Any
778,Workplace,Block,NoCharger,1000000,0,Any
779,Public,Block,NoCharger,1000000,0,Any
779,Residential,Block,NoCharger,1000000,0,Any
779,Workplace,Block,NoCharger,1000000,0,Any
780,Public,Block,NoCharger,1000000,0,Any
780,Residential,Block,NoCharger,1000000,0,Any
780,Workplace,Block,NoCharger,1000000,0,Any
781,Public,Block,NoCharger,1000000,0,Any
781,Residential,Block,NoCharger,1000000,0,Any
781,Workplace,Block,NoCharger,1000000,0,Any
782,Public,Block,NoCharger,1000000,0,Any
782,Residential,Block,NoCharger,1000000,0,Any
782,Workplace,Block,NoCharger,1000000,0,Any
783,Public,Block,NoCharger,1000000,0,Any
783,Residential,Block,NoCharger,1000000,0,Any
783,Workplace,Block,NoCharger,1000000,0,Any
784,Public,Block,NoCharger,1000000,0,Any
784,Residential,Block,NoCharger,1000000,0,Any
784,Workplace,Block,NoCharger,1000000,0,Any
785,Public,Block,NoCharger,1000000,0,Any
785,Residential,Block,NoCharger,1000000,0,Any
785,Workplace,Block,NoCharger,1000000,0,Any
786,Public,Block,NoCharger,1000000,0,Any
786,Residential,Block,NoCharger,1000000,0,Any
786,Workplace,Block,NoCharger,1000000,0,Any
787,Public,Block,NoCharger,1000000,0,Any
787,Residential,Block,NoCharger,1000000,0,Any
787,Workplace,Block,NoCharger,1000000,0,Any
788,Public,Block,NoCharger,1000000,0,Any
788,Residential,Block,NoCharger,1000000,0,Any
788,Workplace,Block,NoCharger,1000000,0,Any
789,Public,Block,NoCharger,1000000,0,Any
789,Residential,Block,NoCharger,1000000,0,Any
789,Workplace,Block,NoCharger,1000000,0,Any
790,Public,Block,NoCharger,1000000,0,Any
790,Residential,Block,NoCharger,1000000,0,Any
790,Workplace,Block,NoCharger,1000000,0,Any
791,Public,Block,NoCharger,1000000,0,Any
791,Residential,Block,NoCharger,1000000,0,Any
791,Workplace,Block,NoCharger,1000000,0,Any
792,Public,Block,NoCharger,1000000,0,Any
792,Residential,Block,NoCharger,1000000,0,Any
792,Workplace,Block,NoCharger,1000000,0,Any
793,Public,Block,NoCharger,1000000,0,Any
793,Residential,Block,NoCharger,1000000,0,Any
793,Workplace,Block,NoCharger,1000000,0,Any
794,Public,Block,NoCharger,1000000,0,Any
794,Residential,Block,NoCharger,1000000,0,Any
794,Workplace,Block,NoCharger,1000000,0,Any
795,Public,Block,NoCharger,1000000,0,Any
795,Residential,Block,NoCharger,1000000,0,Any
795,Workplace,Block,NoCharger,1000000,0,Any
796,Public,Block,NoCharger,1000000,0,Any
796,Residential,Block,NoCharger,1000000,0,Any
796,Workplace,Block,NoCharger,1000000,0,Any
797,Public,Block,NoCharger,1000000,0,Any
797,Residential,Block,NoCharger,1000000,0,Any
797,Workplace,Block,NoCharger,1000000,0,Any
798,Public,Block,NoCharger,1000000,0,Any
798,Residential,Block,NoCharger,1000000,0,Any
798,Workplace,Block,NoCharger,1000000,0,Any
799,Public,Block,NoCharger,1000000,0,Any
799,Residential,Block,NoCharger,1000000,0,Any
799,Workplace,Block,NoCharger,1000000,0,Any
800,Public,Block,NoCharger,1000000,0,Any
800,Residential,Block,NoCharger,1000000,0,Any
800,Workplace,Block,NoCharger,1000000,0,Any
801,Public,Block,NoCharger,1000000,0,Any
801,Residential,Block,NoCharger,1000000,0,Any
801,Workplace,Block,NoCharger,1000000,0,Any
802,Public,Block,NoCharger,1000000,0,Any
802,Residential,Block,NoCharger,1000000,0,Any
802,Workplace,Block,NoCharger,1000000,0,Any
803,Public,Block,NoCharger,1000000,0,Any
803,Residential,Block,NoCharger,1000000,0,Any
803,Workplace,Block,NoCharger,1000000,0,Any
804,Public,Block,NoCharger,1000000,0,Any
804,Residential,Block,NoCharger,1000000,0,Any
804,Workplace,Block,NoCharger,1000000,0,Any
805,Public,Block,NoCharger,1000000,0,Any
805,Residential,Block,NoCharger,1000000,0,Any
805,Workplace,Block,NoCharger,1000000,0,Any
806,Public,Block,NoCharger,1000000,0,Any
806,Residential,Block,NoCharger,1000000,0,Any
806,Workplace,Block,NoCharger,1000000,0,Any
807,Public,Block,NoCharger,1000000,0,Any
807,Residential,Block,NoCharger,1000000,0,Any
807,Workplace,Block,NoCharger,1000000,0,Any
808,Public,Block,NoCharger,1000000,0,Any
808,Residential,Block,NoCharger,1000000,0,Any
808,Workplace,Block,NoCharger,1000000,0,Any
809,Public,Block,NoCharger,1000000,0,Any
809,Residential,Block,NoCharger,1000000,0,Any
809,Workplace,Block,NoCharger,1000000,0,Any
810,Public,Block,NoCharger,1000000,0,Any
810,Residential,Block,NoCharger,1000000,0,Any
810,Workplace,Block,NoCharger,1000000,0,Any
811,Public,Block,NoCharger,1000000,0,Any
811,Residential,Block,NoCharger,1000000,0,Any
811,Workplace,Block,NoCharger,1000000,0,Any
812,Public,Block,NoCharger,1000000,0,Any
812,Residential,Block,NoCharger,1000000,0,Any
812,Workplace,Block,NoCharger,1000000,0,Any
813,Public,Block,NoCharger,1000000,0,Any
813,Residential,Block,NoCharger,1000000,0,Any
813,Workplace,Block,NoCharger,1000000,0,Any
814,Public,Block,NoCharger,1000000,0,Any
814,Residential,Block,NoCharger,1000000,0,Any
814,Workplace,Block,NoCharger,1000000,0,Any
815,Public,Block,NoCharger,1000000,0,Any
815,Residential,Block,NoCharger,1000000,0,Any
815,Workplace,Block,NoCharger,1000000,0,Any
816,Public,Block,NoCharger,1000000,0,Any
816,Residential,Block,NoCharger,1000000,0,Any
816,Workplace,Block,NoCharger,1000000,0,Any
817,Public,Block,NoCharger,1000000,0,Any
817,Residential,Block,NoCharger,1000000,0,Any
817,Workplace,Block,NoCharger,1000000,0,Any
818,Public,Block,NoCharger,1000000,0,Any
818,Residential,Block,NoCharger,1000000,0,Any
818,Workplace,Block,NoCharger,1000000,0,Any
819,Public,Block,NoCharger,1000000,0,Any
819,Residential,Block,NoCharger,1000000,0,Any
819,Workplace,Block,NoCharger,1000000,0,Any
820,Public,Block,NoCharger,1000000,0,Any
820,Residential,Block,NoCharger,1000000,0,Any
820,Workplace,Block,NoCharger,1000000,0,Any
821,Public,Block,NoCharger,1000000,0,Any
821,Residential,Block,NoCharger,1000000,0,Any
821,Workplace,Block,NoCharger,1000000,0,Any
822,Public,Block,NoCharger,1000000,0,Any
822,Residential,Block,NoCharger,1000000,0,Any
822,Workplace,Block,NoCharger,1000000,0,Any
823,Public,Block,NoCharger,1000000,0,Any
823,Residential,Block,NoCharger,1000000,0,Any
823,Workplace,Block,NoCharger,1000000,0,Any
824,Public,Block,NoCharger,1000000,0,Any
824,Residential,Block,NoCharger,1000000,0,Any
824,Workplace,Block,NoCharger,1000000,0,Any
825,Public,Block,NoCharger,1000000,0,Any
825,Residential,Block,NoCharger,1000000,0,Any
825,Workplace,Block,NoCharger,1000000,0,Any
826,Public,Block,NoCharger,1000000,0,Any
826,Residential,Block,NoCharger,1000000,0,Any
826,Workplace,Block,NoCharger,1000000,0,Any
827,Public,Block,NoCharger,1000000,0,Any
827,Residential,Block,NoCharger,1000000,0,Any
827,Workplace,Block,NoCharger,1000000,0,Any
828,Public,Block,NoCharger,1000000,0,Any
828,Residential,Block,NoCharger,1000000,0,Any
828,Workplace,Block,NoCharger,1000000,0,Any
829,Public,Block,NoCharger,1000000,0,Any
829,Residential,Block,NoCharger,1000000,0,Any
829,Workplace,Block,NoCharger,1000000,0,Any
830,Public,Block,NoCharger,1000000,0,Any
830,Residential,Block,NoCharger,1000000,0,Any
830,Workplace,Block,NoCharger,1000000,0,Any
831,Public,Block,NoCharger,1000000,0,Any
831,Residential,Block,NoCharger,1000000,0,Any
831,Workplace,Block,NoCharger,1000000,0,Any
832,Public,Block,NoCharger,1000000,0,Any
832,Residential,Block,NoCharger,1000000,0,Any
832,Workplace,Block,NoCharger,1000000,0,Any
833,Public,Block,NoCharger,1000000,0,Any
833,Residential,Block,NoCharger,1000000,0,Any
833,Workplace,Block,NoCharger,1000000,0,Any
834,Public,Block,NoCharger,1000000,0,Any
834,Residential,Block,NoCharger,1000000,0,Any
834,Workplace,Block,NoCharger,1000000,0,Any
835,Public,Block,NoCharger,1000000,0,Any
835,Residential,Block,NoCharger,1000000,0,Any
835,Workplace,Block,NoCharger,1000000,0,Any
836,Public,Block,NoCharger,1000000,0,Any
836,Residential,Block,NoCharger,1000000,0,Any
836,Workplace,Block,NoCharger,1000000,0,Any
837,Public,Block,NoCharger,1000000,0,Any
837,Residential,Block,NoCharger,1000000,0,Any
837,Workplace,Block,NoCharger,1000000,0,Any
838,Public,Block,NoCharger,1000000,0,Any
838,Residential,Block,NoCharger,1000000,0,Any
838,Workplace,Block,NoCharger,1000000,0,Any
839,Public,Block,NoCharger,1000000,0,Any
839,Residential,Block,NoCharger,1000000,0,Any
839,Workplace,Block,NoCharger,1000000,0,Any
840,Public,Block,NoCharger,1000000,0,Any
840,Residential,Block,NoCharger,1000000,0,Any
840,Workplace,Block,NoCharger,1000000,0,Any
841,Public,Block,NoCharger,1000000,0,Any
841,Residential,Block,NoCharger,1000000,0,Any
841,Workplace,Block,NoCharger,1000000,0,Any
842,Public,Block,NoCharger,1000000,0,Any
842,Residential,Block,NoCharger,1000000,0,Any
842,Workplace,Block,NoCharger,1000000,0,Any
843,Public,Block,NoCharger,1000000,0,Any
843,Residential,Block,NoCharger,1000000,0,Any
843,Workplace,Block,NoCharger,1000000,0,Any
844,Public,Block,NoCharger,1000000,0,Any
844,Residential,Block,NoCharger,1000000,0,Any
844,Workplace,Block,NoCharger,1000000,0,Any
845,Public,Block,NoCharger,1000000,0,Any
845,Residential,Block,NoCharger,1000000,0,Any
845,Workplace,Block,NoCharger,1000000,0,Any
846,Public,Block,NoCharger,1000000,0,Any
846,Residential,Block,NoCharger,1000000,0,Any
846,Workplace,Block,NoCharger,1000000,0,Any
847,Public,Block,NoCharger,1000000,0,Any
847,Residential,Block,NoCharger,1000000,0,Any
847,Workplace,Block,NoCharger,1000000,0,Any
848,Public,Block,NoCharger,1000000,0,Any
848,Residential,Block,NoCharger,1000000,0,Any
848,Workplace,Block,NoCharger,1000000,0,Any
849,Public,Block,NoCharger,1000000,0,Any
849,Residential,Block,NoCharger,1000000,0,Any
849,Workplace,Block,NoCharger,1000000,0,Any
850,Public,Block,NoCharger,1000000,0,Any
850,Residential,Block,NoCharger,1000000,0,Any
850,Workplace,Block,NoCharger,1000000,0,Any
851,Public,Block,NoCharger,1000000,0,Any
851,Residential,Block,NoCharger,1000000,0,Any
851,Workplace,Block,NoCharger,1000000,0,Any
852,Public,Block,NoCharger,1000000,0,Any
852,Residential,Block,NoCharger,1000000,0,Any
852,Workplace,Block,NoCharger,1000000,0,Any
853,Public,Block,NoCharger,1000000,0,Any
853,Residential,Block,NoCharger,1000000,0,Any
853,Workplace,Block,NoCharger,1000000,0,Any
854,Public,Block,NoCharger,1000000,0,Any
854,Residential,Block,NoCharger,1000000,0,Any
854,Workplace,Block,NoCharger,1000000,0,Any
855,Public,Block,NoCharger,1000000,0,Any
855,Residential,Block,NoCharger,1000000,0,Any
855,Workplace,Block,NoCharger,1000000,0,Any
856,Public,Block,NoCharger,1000000,0,Any
856,Residential,Block,NoCharger,1000000,0,Any
856,Workplace,Block,NoCharger,1000000,0,Any
857,Public,Block,NoCharger,1000000,0,Any
857,Residential,Block,NoCharger,1000000,0,Any
857,Workplace,Block,NoCharger,1000000,0,Any
858,Public,Block,NoCharger,1000000,0,Any
858,Residential,Block,NoCharger,1000000,0,Any
858,Workplace,Block,NoCharger,1000000,0,Any
859,Public,Block,NoCharger,1000000,0,Any
859,Residential,Block,NoCharger,1000000,0,Any
859,Workplace,Block,NoCharger,1000000,0,Any
860,Public,Block,NoCharger,1000000,0,Any
860,Residential,Block,NoCharger,1000000,0,Any
860,Workplace,Block,NoCharger,1000000,0,Any
861,Public,Block,NoCharger,1000000,0,Any
861,Residential,Block,NoCharger,1000000,0,Any
861,Workplace,Block,NoCharger,1000000,0,Any
862,Public,Block,NoCharger,1000000,0,Any
862,Residential,Block,NoCharger,1000000,0,Any
862,Workplace,Block,NoCharger,1000000,0,Any
863,Public,Block,NoCharger,1000000,0,Any
863,Residential,Block,NoCharger,1000000,0,Any
863,Workplace,Block,NoCharger,1000000,0,Any
864,Public,Block,NoCharger,1000000,0,Any
864,Residential,Block,NoCharger,1000000,0,Any
864,Workplace,Block,NoCharger,1000000,0,Any
865,Public,Block,NoCharger,1000000,0,Any
865,Residential,Block,NoCharger,1000000,0,Any
865,Workplace,Block,NoCharger,1000000,0,Any
866,Public,Block,NoCharger,1000000,0,Any
866,Residential,Block,NoCharger,1000000,0,Any
866,Workplace,Block,NoCharger,1000000,0,Any
867,Public,Block,NoCharger,1000000,0,Any
867,Residential,Block,NoCharger,1000000,0,Any
867,Workplace,Block,NoCharger,1000000,0,Any
868,Public,Block,NoCharger,1000000,0,Any
868,Residential,Block,NoCharger,1000000,0,Any
868,Workplace,Block,NoCharger,1000000,0,Any
869,Public,Block,NoCharger,1000000,0,Any
869,Residential,Block,NoCharger,1000000,0,Any
869,Workplace,Block,NoCharger,1000000,0,Any
870,Public,Block,NoCharger,1000000,0,Any
870,Residential,Block,NoCharger,1000000,0,Any
870,Workplace,Block,NoCharger,1000000,0,Any
871,Public,Block,NoCharger,1000000,0,Any
871,Residential,Block,NoCharger,1000000,0,Any
871,Workplace,Block,NoCharger,1000000,0,Any
872,Public,Block,NoCharger,1000000,0,Any
872,Residential,Block,NoCharger,1000000,0,Any
872,Workplace,Block,NoCharger,1000000,0,Any
873,Public,Block,NoCharger,1000000,0,Any
873,Residential,Block,NoCharger,1000000,0,Any
873,Workplace,Block,NoCharger,1000000,0,Any
874,Public,Block,NoCharger,1000000,0,Any
874,Residential,Block,NoCharger,1000000,0,Any
874,Workplace,Block,NoCharger,1000000,0,Any
875,Public,Block,NoCharger,1000000,0,Any
875,Residential,Block,NoCharger,1000000,0,Any
875,Workplace,Block,NoCharger,1000000,0,Any
876,Public,Block,NoCharger,1000000,0,Any
876,Residential,Block,NoCharger,1000000,0,Any
876,Workplace,Block,NoCharger,1000000,0,Any
877,Public,Block,NoCharger,1000000,0,Any
877,Residential,Block,NoCharger,1000000,0,Any
877,Workplace,Block,NoCharger,1000000,0,Any
