taz,parkingType,pricingModel,chargingPointType,numStalls,feeInCents,reservedFor
44,Workplace,Block,NoCharger,1000000,0,Any
45,Public,Block,NoCharger,1000000,0,Any
45,Residential,Block,NoCharger,1000000,0,Any
45,Workplace,Block,NoCharger,1000000,0,Any
46,Public,Block,NoCharger,1000000,0,Any
46,Residential,Block,NoCharger,1000000,0,Any
46,Workplace,Block,NoCharger,1000000,0,Any
47,Public,Block,NoCharger,1000000,0,Any
47,Residential,Block,NoCharger,1000000,0,Any
47,Workplace,Block,NoCharger,1000000,0,Any
48,Public,Block,NoCharger,1000000,0,Any
48,Residential,Block,NoCharger,1000000,0,Any
48,Workplace,Block,NoCharger,1000000,0,Any
49,Public,Block,NoCharger,1000000,0,Any
49,Residential,Block,NoCharger,1000000,0,Any
49,Workplace,Block,NoCharger,1000000,0,Any
50,Public,Block,NoCharger,1000000,0,Any
50,Residential,Block,NoCharger,1000000,0,Any
50,Workplace,Block,NoCharger,1000000,0,Any
51,Public,Block,NoCharger,1000000,0,Any
51,Residential,Block,NoCharger,1000000,0,Any
51,Workplace,Block,NoCharger,1000000,0,Any
52,Public,Block,NoCharger,1000000,0,Any
52,Residential,Block,NoCharger,1000000,0,Any
52,Workplace,Block,NoCharger,1000000,0,Any
53,Public,Block,NoCharger,1000000,0,Any
53,Residential,Block,NoCharger,1000000,0,Any
53,Workplace,Block,NoCharger,1000000,0,Any
54,Public,Block,NoCharger,1000000,0,Any
54,Residential,Block,NoCharger,1000000,0,Any
54,Workplace,Block,NoCharger,1000000,0,Any
55,Public,Block,NoCharger,1000000,0,Any
55,Residential,Block,NoCharger,1000000,0,Any
55,Workplace,Block,NoCharger,1000000,0,Any
56,Public,Block,NoCharger,1000000,0,Any
56,Residential,Block,NoCharger,1000000,0,Any
56,Workplace,Block,NoCharger,1000000,0,Any
57,Public,Block,NoCharger,1000000,0,Any
57,Residential,Block,NoCharger,1000000,0,Any
57,Workplace,Block,NoCharger,1000000,0,Any
58,Public,Block,NoCharger,1000000,0,Any
58,Residential,Block,NoCharger,1000000,0,Any
58,Workplace,Block,NoCharger,1000000,0,Any
59,Public,Block,NoCharger,1000000,0,Any
59,Residential,Block,NoCharger,1000000,0,Any
59,Workplace,Block,NoCharger,1000000,0,Any
60,Public,Block,NoCharger,1000000,0,Any
60,Residential,Block,NoCharger,1000000,0,Any
60,Workplace,Block,NoCharger,1000000,0,Any
61,Public,Block,NoCharger,1000000,0,Any
61,Residential,Block,NoCharger,1000000,0,Any
61,Workplace,Block,NoCharger,1000000,0,Any
62,Public,Block,NoCharger,1000000,0,Any
62,Residential,Block,NoCharger,1000000,0,Any
62,Workplace,Block,NoCharger,1000000,0,Any
63,Public,Block,NoCharger,1000000,0,Any
63,Residential,Block,NoCharger,1000000,0,Any
63,Workplace,Block,NoCharger,1000000,0,Any
64,Public,Block,NoCharger,1000000,0,Any
64,Residential,Block,NoCharger,1000000,0,Any
64,Workplace,Block,NoCharger,1000000,0,Any
65,Public,Block,NoCharger,1000000,0,Any
65,Residential,Block,NoCharger,1000000,0,Any
65,Workplace,Block,NoCharger,1000000,0,Any
66,Public,Block,NoCharger,1000000,0,Any
66,Residential,Block,NoCharger,1000000,0,Any
66,Workplace,Block,NoCharger,1000000,0,Any
67,Public,Block,NoCharger,1000000,0,Any
67,Residential,Block,NoCharger,1000000,0,Any
67,Workplace,Block,NoCharger,1000000,0,Any
68,Public,Block,NoCharger,1000000,0,Any
68,Residential,Block,NoCharger,1000000,0,Any
68,Workplace,Block,NoCharger,1000000,0,Any
69,Public,Block,NoCharger,1000000,0,Any
69,Residential,Block,NoCharger,1000000,0,Any
69,Workplace,Block,NoCharger,1000000,0,Any
70,Public,Block,NoCharger,1000000,0,Any
70,Residential,Block,NoCharger,1000000,0,Any
70,Workplace,Block,NoCharger,1000000,0,Any
71,Public,Block,NoCharger,1000000,0,Any
71,Residential,Block,NoCharger,1000000,0,Any
71,Workplace,Block,NoCharger,1000000,0,Any
72,Public,Block,NoCharger,1000000,0,Any
72,Residential,Block,NoCharger,1000000,0,Any
72,Workplace,Block,NoCharger,1000000,0,Any
73,Public,Block,NoCharger,1000000,0,Any
73,Residential,Block,NoCharger,1000000,0,Any
73,Workplace,Block,NoCharger,1000000,0,Any
74,Public,Block,NoCharger,1000000,0,Any
74,Residential,Block,NoCharger,1000000,0,Any
74,Workplace,Block,NoCharger,1000000,0,Any
75,Public,Block,NoCharger,1000000,0,Any
75,Residential,Block,NoCharger,1000000,0,Any
75,Workplace,Block,NoCharger,1000000,0,Any
76,Public,Block,NoCharger,1000000,0,Any
76,Residential,Block,NoCharger,1000000,0,Any
76,Workplace,Block,NoCharger,1000000,0,Any
77,Public,Block,NoCharger,1000000,0,Any
77,Residential,Block,NoCharger,1000000,0,Any
77,Workplace,Block,NoCharger,1000000,0,Any
78,Public,Block,NoCharger,1000000,0,Any
78,Residential,Block,NoCharger,1000000,0,Any
78,Workplace,Block,NoCharger,1000000,0,Any
79,Public,Block,NoCharger,1000000,0,Any
79,Residential,Block,NoCharger,1000000,0,Any
79,Workplace,Block,NoCharger,1000000,0,Any
80,Public,Block,NoCharger,1000000,0,Any
80,Residential,Block,NoCharger,1000000,0,Any
80,Workplace,Block,NoCharger,1000000,0,Any
81,Public,Block,NoCharger,1000000,0,Any
81,Residential,Block,NoCharger,1000000,0,Any
81,Workplace,Block,NoCharger,1000000,0,Any
82,Public,Block,NoCharger,1000000,0,Any
82,Residential,Block,NoCharger,1000000,0,Any
82,Workplace,Block,NoCharger,1000000,0,Any
83,Public,Block,NoCharger,1000000,0,Any
83,Residential,Block,NoCharger,1000000,0,Any
83,Workplace,Block,NoCharger,1000000,0,Any
84,Public,Block,NoCharger,1000000,0,Any
84,Residential,Block,NoCharger,1000000,0,Any
84,Workplace,Block,NoCharger,1000000,0,Any
85,Public,Block,NoCharger,1000000,0,Any
85,Residential,Block,NoCharger,1000000,0,Any
85,Workplace,Block,NoCharger,1000000,0,Any
86,Public,Block,NoCharger,1000000,0,Any
86,Residential,Block,NoCharger,1000000,0,Any
86,Workplace,Block,NoCharger,1000000,0,Any
87,Public,Block,NoCharger,1000000,0,Any
87,Residential,Block,NoCharger,1000000,0,Any
87,Workplace,Block,NoCharger,1000000,0,Any
88,Public,Block,NoCharger,1000000,0,Any
88,Residential,Block,NoCharger,1000000,0,Any
88,Workplace,Block,NoCharger,1000000,0,Any
89,Public,Block,NoCharger,1000000,0,Any
89,Residential,Block,NoCharger,1000000,0,Any
89,Workplace,Block,NoCharger,1000000,0,Any
90,Public,Block,NoCharger,1000000,0,Any
90,Residential,Block,NoCharger,1000000,0,Any
90,Workplace,Block,NoCharger,1000000,0,Any
91,Public,Block,NoCharger,1000000,0,Any
91,Residential,Block,NoCharger,1000000,0,Any
91,Workplace,Block,NoCharger,1000000,0,Any
92,Public,Block,NoCharger,1000000,0,Any
92,Residential,Block,NoCharger,1000000,0,Any
92,Workplace,Block,NoCharger,1000000,0,Any
93,Public,Block,NoCharger,1000000,0,Any
93,Residential,Block,NoCharger,1000000,0,Any
93,Workplace,Block,NoCharger,1000000,0,Any
94,Public,Block,NoCharger,1000000,0,Any
94,Residential,Block,NoCharger,1000000,0,Any
94,Workplace,Block,NoCharger,1000000,0,Any
95,Public,Block,NoCharger,1000000,0,Any
95,Residential,Block,NoCharger,1000000,0,Any
95,Workplace,Block,NoCharger,1000000,0,Any
96,Public,Block,NoCharger,1000000,0,Any
96,Residential,Block,NoCharger,1000000,0,Any
96,Workplace,Block,NoCharger,1000000,0,Any
97,Public,Block,NoCharger,1000000,0,Any
97,Residential,Block,NoCharger,1000000,0,Any
97,Workplace,Block,NoCharger,1000000,0,Any
98,Public,Block,NoCharger,1000000,0,Any
98,Residential,Block,NoCharger,1000000,0,Any
98,Workplace,Block,NoCharger,1000000,0,Any
99,Public,Block,NoCharger,1000000,0,Any
99,Residential,Block,NoCharger,1000000,0,Any
99,Workplace,Block,NoCharger,1000000,0,Any
100,Public,Block,NoCharger,1000000,0,Any
100,Residential,Block,NoCharger,1000000,0,Any
100,Workplace,Block,NoCharger,1000000,0,Any
101,Public,Block,NoCharger,1000000,0,Any
101,Residential,Block,NoCharger,1000000,0,Any
101,Workplace,Block,NoCharger,1000000,0,Any
102,Public,Block,NoCharger,1000000,0,Any
102,Residential,Block,NoCharger,1000000,0,Any
