coefficient_name,target
coef_sr3p_ASC_walk_school,0.0235499412609234
coef_walk_ASC_walk_school,1
coef_walk_transit_ASC_sov_school,0.07100711009283502
coef_walk_transit_ASC_sr2_school,0.13974531390286057
coef_walk_transit_ASC_sr3p_school,0.09644947634596275
coef_walk_transit_ASC_walk_school,0.09763748600192641
coef_walk_transit_ASC_walk_transit_school,0.5951606136564153
coef_bike_ASC_bike_shopping,0.8868583438184098
coef_bike_ASC_sov_shopping,0.03469670586783257
coef_bike_ASC_sr2_shopping,0.035022462247490865
coef_bike_ASC_sr3p_shopping,0.01908006539584852
coef_bike_ASC_walk_shopping,0.024342422670418355
coef_drive_transit_ASC_drive_transit_shopping,0.2159248773787135
coef_drive_transit_ASC_sov_shopping,0.2840751226212865
coef_drive_transit_ASC_walk_shopping,0.18938341508085765
coef_drive_transit_ASC_walk_transit_shopping,0.31061658491914235
coef_sov_ASC_sov_shopping,0.9914925095763405
coef_sov_ASC_walk_shopping,0.00850749042365957
coef_sr2_ASC_sov_shopping,0.043992644541743196
coef_sr2_ASC_sr2_shopping,0.9447250964318374
coef_sr2_ASC_walk_shopping,0.011282259026419309
coef_sr3p_ASC_sov_shopping,0.015228591208388558
coef_sr3p_ASC_sr2_shopping,0.04086124602877922
coef_sr3p_ASC_sr3p_shopping,0.9332545153568473
coef_sr3p_ASC_walk_shopping,0.010655647405984923
coef_walk_ASC_walk_shopping,1
coef_walk_transit_ASC_bike_shopping,0.0066921240874438254
coef_walk_transit_ASC_sov_shopping,0.07407528953095632
coef_walk_transit_ASC_sr2_shopping,0.03139586770836961
coef_walk_transit_ASC_sr3p_shopping,0.07532852794477798
coef_walk_transit_ASC_walk_shopping,0.2887997907056914
coef_walk_transit_ASC_walk_transit_shopping,0.5237084000227608
coef_bike_ASC_bike_social,0.938584547734979
coef_bike_ASC_sov_social,0.014020013235310264
coef_bike_ASC_sr2_social,0.009861193430827996
coef_bike_ASC_sr3p_social,0.022498465377190087
coef_bike_ASC_walk_social,0.015035780221692588
coef_sov_ASC_sov_social,0.9874769313940956
coef_sov_ASC_walk_social,0.012523068605904436
coef_sr2_ASC_sov_social,0.048097362705709266
coef_sr2_ASC_sr2_social,0.9318790269247612
coef_sr2_ASC_walk_social,0.020023610369529425
coef_sr3p_ASC_sov_social,0.019293251388440732
