coefficient_name,value,constrain
coef_HasChildren0to5_1day,0,FALSE
coef_HasChildren6to12_1day,0,FALSE
coef_OneAdultInHH_1day,0.177,FALSE
coef_2plusAdultsInHH_1day,0,FALSE
coef_Female_1day,0,FALSE
coef_PartTimeWorker_1day,0,FALSE
coef_CollegeStudent_1day,0,FALSE
coef_PaysToPark_1day,0.457,FALSE
coef_Income60to100k_1day,0.56,FALSE
coef_Income100to150k_1day,0.644,FALSE
coef_Income150kplus_1day,0.92,FALSE
coef_0Autos_1day,0,FALSE
coef_1Auto_1day,0,FALSE
coef_3plusAutos_1day,0,FALSE
coef_DistanceToWork_1day,0.016,FALSE
coef_HasChildren0to5_23day,0,FALSE
coef_HasChildren6to12_23day,0.517,FALSE
coef_OneAdultInHH_23day,0,FALSE
coef_2plusAdultsInHH_23day,0,FALSE
coef_Female_23day,0,FALSE
coef_PartTimeWorker_23day,0.425,FALSE
coef_CollegeStudent_23day,0.6,FALSE
coef_PaysToPark_23day,0,FALSE
coef_Income60to100k_23day,0.389,FALSE
coef_Income100to150k_23day,0.193,FALSE
coef_Income150kplus_23day,0.765,FALSE
coef_0Autos_23day,0.407,FALSE
coef_1Auto_23day,0,FALSE
coef_3plusAutos_23day,-0.73,FALSE
coef_DistanceToWork_23day,0,FALSE
coef_HasChildren0to5_4day,-0.864,FALSE
coef_HasChildren6to12_4day,-0.81,FALSE
coef_OneAdultInHH_4day,-0.043,FALSE
coef_2plusAdultsInHH_4day,0,FALSE
coef_Female_4day,0,FALSE
coef_PartTimeWorker_4day,1.112,FALSE
coef_CollegeStudent_4day,0,FALSE
coef_PaysToPark_4day,0,FALSE
coef_Income60to100k_4day,0,FALSE
coef_Income100to150k_4day,0,FALSE
coef_Income150kplus_4day,0,FALSE
coef_0Autos_4day,0,FALSE
coef_1Auto_4day,0,FALSE
coef_3plusAutos_4day,0,FALSE
coef_DistanceToWork_4day,0,FALSE
coef_calib_No_Telecommute_asc,-0.013,FALSE
coef_calib_1_day_week_asc,-3.503,FALSE
coef_calib_2_3_days_week_asc,-4.206,FALSE
coef_calib_4_days_week_asc,-6.219,FALSE
coefj_RETL_1day,2.021,FALSE
coefj_FOOD_1day,1.376,FALSE
coefj_MANU_1day,1.636,FALSE
coefj_WSLE_1day,0,FALSE
coefj_OFFI_1day,4.58,FALSE
coefj_GVED_1day,1.199,FALSE
coefj_HLTH_1day,1.929,FALSE
coefj_OTHR_1day,3.79,FALSE
coefj_AGRI_1day,4.666,FALSE
coefj_MING_1day,-0.698,FALSE
coefj_CONS_1day,2.544,FALSE
coefj_RETL_23day,0.809,FALSE
coefj_FOOD_23day,0.551,FALSE
coefj_MANU_23day,0.655,FALSE
coefj_WSLE_23day,0,FALSE
coefj_OFFI_23day,1.832,FALSE
coefj_GVED_23day,0.48,FALSE
coefj_HLTH_23day,0.771,FALSE
coefj_OTHR_23day,1.515,FALSE
coefj_AGRI_23day,1.866,FALSE
coefj_MING_23day,-0.279,FALSE
coefj_CONS_23day,1.018,FALSE
coefj_RETL_4day,0.505,FALSE
coefj_FOOD_4day,0.344,FALSE
coefj_MANU_4day,0.408,FALSE
coefj_WSLE_4day,0,FALSE
coefj_OFFI_4day,1.145,FALSE
coefj_GVED_4day,0.301,FALSE
coefj_HLTH_4day,0.482,FALSE
coefj_OTHR_4day,0.947,FALSE
coefj_AGRI_4day,1.167,FALSE
coefj_MING_4day,-0.175,FALSE
coefj_CONS_4day,0.637,FALSE
