purpose,mode,asim_trips,asim_share,wfrc_trips,wfrc_share,error,close_enough,adjust
hbw,TNC,1109,6.641625323696888e-4,NA,1.5e-4,5.141625323696889e-4,TRUE,-1.4878916030922074
hbw,bike,65949,0.03949581140419171,29406.288699987235,0.01718043151532161,0.022315379888870095,TRUE,-0.8324235923372466
hbw,crt,19846,0.011885455020206352,10820.744699997507,0.00632194919800155,0.0055635058222048015,TRUE,-0.6312878073169422
hbw,drive_alone,1012192,0.6061857547018396,1328609.310498788,0.7762312851690463,-0.17004553046720672,FALSE,0.24726405866355108
hbw,express_bus,2963,0.0017744937632203678,727.7589999999161,4.251884277788148e-4,0.0013493053354415529,TRUE,-1.4287380272624537
hbw,local_bus,168594,0.1009682759083276,18142.11039998552,0.01059940914170819,0.09036886676661941,FALSE,-2.254008109367869
hbw,lrt,60347,0.03614086234527828,19026.531399997544,0.01111612631661049,0.02502473602866779,TRUE,-1.1790272708104979
hbw,sr2,172377,0.10323385468195657,162166.110099506,0.09474448738143132,0.008489367300525255,TRUE,-0.08581318689577408
hbw,sr3,86314,0.051692087302937166,95617.24079913842,0.05586374649291688,-0.004171659189979714,TRUE,0.07761090803286742
hbw,walk,80081,0.04795924233967272,47099.16119999338,0.02751737635718479,0.02044186598248793,TRUE,-0.5555338596173001
hbo,TNC,113614,0.029498713484911034,NA,0.0038,0.025698713484911033,FALSE,-2.0493455849814786
hbo,bike,155249,0.04030881554930689,80432.14769997894,0.0173190469567206,0.02298976859258629,TRUE,-0.8447633171256878
hbo,crt,81096,0.02105574725625667,4180.019600019374,9.000624477017036e-4,0.020155684808554966,TRUE,-3.1524646833933225
hbo,drive_alone,700133,0.18178237513274084,1394415.100207185,0.30025234049114935,-0.11846996535840851,FALSE,0.50181302549173
hbo,express_bus,14933,0.0038772007716494136,19.38389999999949,4.173837003042696e-6,0.003873026934646371,TRUE,-6.834032964289057
hbo,local_bus,127782,0.0331772898280925,17697.178099981862,0.00381064371995022,0.029366646108142283,TRUE,-2.1640674703021463
hbo,lrt,46261,0.012011195667131422,15411.15359999328,0.00331840564361291,0.008692790023518512,TRUE,-1.2863547473461934
hbo,sr2,965204,0.25060535013721963,1076537.93819921,0.23180546131765395,0.01879988881956568,TRUE,-0.07798090044344594
hbo,sr3,1183103,0.3071805976388359,1625739.336606138,0.3500622166039323,-0.0428816189650964,TRUE,0.13067505986006384
hbo,walk,464115,0.12050271453385573,429711.72420006094,0.09252764898227596,0.027975065551579775,TRUE,-0.2641647721580846
nhb,TNC,40090,0.02034490423330312,NA,0.004,0.01634490423330312,FALSE,-1.6265361131859488
nhb,bike,26709,0.013554303995193142,15278.977299982042,0.00640716713813352,0.007147136857059621,TRUE,-0.7492869057935138
nhb,crt,12319,0.006251655656025472,1243.006899994811,5.212490866210879e-4,0.005730406569404384,TRUE,-2.484373591787605
nhb,drive_alone,716147,0.36343083392285686,951560.64690361,0.3990324736452781,-0.03560163972242125,FALSE,0.09345380035823703
nhb,express_bus,2607,0.0013230023780549075,7.037000000000105,2.950932792543599e-6,0.001320051445262364,TRUE,-6.105537640351917
nhb,local_bus,95333,0.04837966463640525,4881.2427000125035,0.00204692612645029,0.04633273850995496,FALSE,-3.1627403559562426
nhb,lrt,8599,0.0043638271764074215,7295.248700019795,0.00305922816806155,0.0013045990083458713,TRUE,-0.35518681359152543
nhb,sr2,424273,0.2153103904658572,564399.0177008874,0.23667806869588165,-0.021367678230024445,TRUE,0.09462019418109086
nhb,sr3,513876,0.2607821902667217,708879.6430956359,0.2972653381806855,-0.03648314791396379,TRUE,0.13093959564496954
nhb,walk,130565,0.06625922726917491,131124.87389999558,0.05498659802609571,0.011272629243079202,TRUE,-0.1864852514157948
