purpose,mode,asim_trips,asim_share,wfrc_trips,wfrc_share,error,close_enough,adjust
hbw,TNC,1350,8.084268014443893e-4,NA,1.5e-4,6.584268014443893e-4,TRUE,-1.6844548445753624
hbw,bike,120280,0.0720278338353564,29406.288699987235,0.01718043151532161,0.05484740232003478,FALSE,-1.4332815918125323
hbw,crt,17586,0.010531106466815578,10820.744699997507,0.00632194919800155,0.004209157268814027,TRUE,-0.5103058201827497
hbw,drive_alone,909903,0.5448814606775215,1328609.310498788,0.7762312851690463,-0.23134982449152475,FALSE,0.3538822560120588
hbw,express_bus,2651,0.0015875107041696858,727.7589999999161,4.251884277788148e-4,0.001162322276390871,TRUE,-1.3173900433789607
hbw,local_bus,219007,0.1311489840769862,18142.11039998552,0.01059940914170819,0.120549574935278,FALSE,-2.5155357017990116
hbw,lrt,56082,0.033583845836003136,19026.531399997544,0.01111612631661049,0.022467719519392644,TRUE,-1.1056482973569446
hbw,sr2,179250,0.10734111419178279,162166.110099506,0.09474448738143132,0.012596626810351466,TRUE,-0.12482808511980714
hbw,sr3,68747,0.04116808690288698,95617.24079913842,0.05586374649291688,-0.0146956595900299,TRUE,0.30525226113045184
hbw,walk,95054,0.05692163050703331,47099.16119999338,0.02751737635718479,0.029404254149848524,TRUE,-0.7268577457399817
hbo,TNC,131456,0.034130798725495494,NA,0.0038,0.030330798725495493,FALSE,-2.1951990983588385
hbo,bike,129070,0.03351130561936848,80432.14769997894,0.0173190469567206,0.01619225866264788,TRUE,-0.6600759870454098
hbo,crt,84118,0.021840117812737567,4180.019600019374,9.000624477017036e-4,0.020940055365035865,TRUE,-3.189039676947991
hbo,drive_alone,774125,0.20099124089713818,1394415.100207185,0.30025234049114935,-0.09926109959401117,FALSE,0.4013619265875593
hbo,express_bus,15403,0.003999183702294357,19.38389999999949,4.173837003042696e-6,0.003995009865291314,TRUE,-6.865009787497883
hbo,local_bus,225138,0.05845408169623755,17697.178099981862,0.00381064371995022,0.05464343797628733,FALSE,-2.730443387516106
hbo,lrt,49932,0.01296417844724806,15411.15359999328,0.00331840564361291,0.00964577280363515,TRUE,-1.3627056102592974
hbo,sr2,521551,0.13541376739046448,1076537.93819921,0.23180546131765395,-0.09639169392718946,FALSE,0.5375634563941694
hbo,sr3,1473693,0.3826247502295188,1625739.336606138,0.3500622166039323,0.03256253362558653,TRUE,-0.0889438440727319
hbo,walk,447050,0.116070575479497,429711.72420006094,0.09252764898227596,0.023542926497221048,TRUE,-0.22669090763566202
nhb,TNC,46533,0.023968513800708965,NA,0.004,0.019968513800708965,FALSE,-1.7904466829306178
nhb,bike,36362,0.0187295703870668,15278.977299982042,0.00640716713813352,0.01232240324893328,TRUE,-1.0726863499193122
nhb,crt,12117,0.006241301479018987,1243.006899994811,5.212490866210879e-4,0.0057200523923978995,TRUE,-2.482715989145514
nhb,drive_alone,712968,0.36724009514675326,951560.64690361,0.3990324736452781,-0.03179237849852484,FALSE,0.08302695679872991
nhb,express_bus,2681,0.0013809465433069162,7.037000000000105,2.950932792543599e-6,0.0013779956105143727,TRUE,-6.148403122742736
nhb,local_bus,124726,0.06424466190246118,4881.2427000125035,0.00204692612645029,0.06219773577601089,FALSE,-3.4463594197562357
nhb,lrt,9400,0.0048418118265889645,7295.248700019795,0.00305922816806155,0.0017825836585274144,TRUE,-0.4591263435270854
nhb,sr2,280362,0.14441064333256756,564399.0177008874,0.23667806869588165,-0.09226742536331409,FALSE,0.4940399267632548
nhb,sr3,519332,0.2675008318644787,708879.6430956359,0.2972653381806855,-0.029764506316206807,TRUE,0.10550245840610492
nhb,walk,196941,0.10144162371704864,131124.87389999558,0.05498659802609571,0.04645502569095293,FALSE,-0.6123940139484273
